trade_id,entry_time,direction,entry_price,tp,sl,exit_time,exit_price,pnl,exit_reason
45,2026-02-05 21:30:00,LONG,1.57062,1.580873571428571,1.5685692857142857,2026-02-05 21:30:00,1.57062,-2e-05,SL
46,2026-02-06 12:17:00,LONG,1.57016,1.5822350000000003,1.567745,2026-02-06 12:17:00,1.57016,-2e-05,SL
47,2026-02-06 13:01:00,LONG,1.5704,1.582410714285714,1.5679978571428572,2026-02-06 13:01:00,1.5704,-2e-05,SL
48,2026-02-06 16:45:00,LONG,1.57078,1.5885978571428578,1.5672164285714285,2026-02-06 16:45:00,1.57078,-2e-05,SL
49,2026-02-06 20:00:00,LONG,1.57082,1.5789199999999988,1.5692000000000004,2026-02-06 20:00:00,1.57082,-2e-05,SL
50,2026-02-06 21:16:00,LONG,1.57127,1.5779128571428567,1.5699414285714286,2026-02-06 21:20:00,1.57127,-2e-05,SL
51,2026-02-08 22:06:00,LONG,1.56925,1.5845714285714287,1.5661857142857143,2026-02-08 22:06:00,1.5718571428571428,0.002587142857142808,SL
52,2026-02-08 22:55:00,LONG,1.57402,1.5933807142857144,1.570147857142857,2026-02-08 22:56:00,1.57402,-2e-05,SL
53,2026-02-08 23:32:00,LONG,1.57388,1.5992835714285716,1.5687992857142856,2026-02-08 23:32:00,1.57388,-2e-05,SL
54,2026-02-08 23:49:00,LONG,1.57176,1.6007314285714282,1.5659657142857144,2026-02-08 23:49:00,1.57176,-2e-05,SL
55,2026-02-10 20:05:00,SHORT,1.5434,1.5288607142857134,1.5463078571428575,2026-02-10 20:06:00,1.5434,-2e-05,SL
56,2026-02-10 21:45:00,SHORT,1.54411,1.5332135714285715,1.5462892857142858,2026-02-10 21:45:00,1.54411,-2e-05,SL
57,2026-02-11 01:51:00,SHORT,1.54056,1.5243707142857146,1.543797857142857,2026-02-11 01:51:00,1.54056,-2e-05,SL
58,2026-02-11 05:01:00,SHORT,1.53355,1.513846428571428,1.5374907142857144,2026-02-11 05:01:00,1.53355,-2e-05,SL
59,2026-02-11 10:40:00,SHORT,1.53331,1.5119349999999998,1.537585,2026-02-11 10:40:00,1.53331,-2e-05,SL
60,2026-02-11 12:22:00,SHORT,1.53608,1.5186585714285719,1.5395642857142855,2026-02-11 12:22:00,1.53608,-2e-05,SL
61,2026-02-11 12:33:00,SHORT,1.53618,1.5202371428571435,1.5393685714285714,2026-02-11 12:33:00,1.53618,-2e-05,SL
62,2026-02-12 00:37:00,SHORT,1.53352,1.511630714285714,1.5378978571428572,2026-02-12 00:37:00,1.53352,-2e-05,SL
63,2026-02-12 07:52:00,SHORT,1.53107,1.4959914285714282,1.5380857142857143,2026-02-12 07:52:00,1.53107,-2e-05,SL
64,2026-02-12 14:05:00,SHORT,1.53325,1.5074178571428571,1.5384164285714286,2026-02-12 14:05:00,1.53325,-2e-05,SL
65,2026-02-12 15:34:00,SHORT,1.53045,1.5007499999999998,1.5363900000000001,2026-02-12 15:34:00,1.53045,-2e-05,SL
66,2026-02-12 23:53:00,SHORT,1.5283,1.5126892857142857,1.5314221428571428,2026-02-12 23:53:00,1.5283,-2e-05,SL
67,2026-02-13 00:02:00,SHORT,1.52878,1.5121514285714281,1.5321057142857144,2026-02-13 00:02:00,1.52878,-2e-05,SL
68,2026-02-13 00:49:00,SHORT,1.52865,1.5099000000000005,1.5324,2026-02-13 00:49:00,1.52865,-2e-05,SL
69,2026-02-13 13:21:00,SHORT,1.53324,1.517382857142857,1.5364114285714285,2026-02-13 13:21:00,1.53324,-2e-05,SL
70,2026-02-13 15:10:00,SHORT,1.53103,1.5055407142857147,1.536127857142857,2026-02-13 15:10:00,1.53103,-2e-05,SL
71,2026-02-13 15:30:00,SHORT,1.53095,1.504689285714286,1.5362021428571428,2026-02-13 15:30:00,1.53095,-2e-05,SL
72,2026-02-13 20:00:00,SHORT,1.52831,1.5139742857142864,1.5311771428571428,2026-02-13 20:00:00,1.52831,-2e-05,SL
73,2026-02-15 22:05:00,SHORT,1.52639,1.514593571428572,1.5287492857142855,2026-02-15 22:05:00,1.52639,-2e-05,SL
74,2026-02-17 06:15:00,SHORT,1.52916,1.5121242857142854,1.532567142857143,2026-02-17 06:15:00,1.52916,-2e-05,SL
75,2026-02-17 06:32:00,SHORT,1.52922,1.5121521428571427,1.5326335714285715,2026-02-17 06:32:00,1.52922,-2e-05,SL
76,2026-02-17 23:15:00,SHORT,1.53284,1.5243971428571426,1.5345285714285715,2026-02-17 23:15:00,1.53284,-2e-05,SL
77,2026-02-20 05:23:00,LONG,1.55221,1.5631492857142855,1.550022142857143,2026-02-20 05:26:00,1.55221,-2e-05,SL
78,2026-02-20 05:55:00,LONG,1.55225,1.563639285714286,1.5499721428571427,2026-02-20 05:55:00,1.55225,-2e-05,SL
79,2026-02-20 06:34:00,LONG,1.55171,1.564395714285715,1.549172857142857,2026-02-20 06:34:00,1.55171,-2e-05,SL
80,2026-02-20 07:33:00,LONG,1.54965,1.565614285714286,1.5464571428571428,2026-02-20 07:33:00,1.54965,-2e-05,SL
81,2026-02-20 08:31:00,LONG,1.55314,1.575661428571428,1.5486357142857143,2026-02-20 08:31:00,1.55314,-2e-05,SL
82,2026-02-20 13:30:00,LONG,1.55188,1.5692157142857133,1.5484128571428573,2026-02-20 13:30:00,1.55188,-2e-05,SL
83,2026-02-23 09:05:00,LONG,1.54674,1.5648685714285717,1.5431142857142857,2026-02-23 09:05:00,1.54674,-2e-05,SL
84,2026-02-24 02:01:00,LONG,1.54942,1.5663485714285716,1.5460342857142857,2026-02-24 02:01:00,1.54942,-2e-05,SL
85,2026-02-24 06:08:00,LONG,1.55114,1.5643399999999998,1.5485,2026-02-24 06:08:00,1.55114,-2e-05,SL
86,2026-02-24 07:33:00,LONG,1.55912,1.5844807142857138,1.5540478571428573,2026-02-24 07:33:00,1.55912,-2e-05,SL
87,2026-02-24 08:00:00,LONG,1.56004,1.587907857142857,1.5544664285714287,2026-02-24 08:00:00,1.56004,-2e-05,SL
88,2026-02-24 08:16:00,LONG,1.5607,1.5907749999999994,1.554685,2026-02-24 08:16:00,1.5607,-2e-05,SL
89,2026-02-24 10:34:00,LONG,1.55787,1.5835628571428573,1.5527314285714287,2026-02-24 10:34:00,1.55787,-2e-05,SL
90,2026-02-24 13:07:00,LONG,1.55776,1.5738635714285718,1.5545392857142857,2026-02-24 13:07:00,1.55776,-2e-05,SL
91,2026-02-24 14:00:00,LONG,1.56028,1.5774335714285708,1.5568492857142857,2026-02-24 14:00:00,1.56028,-2e-05,SL
92,2026-02-24 14:34:00,LONG,1.55972,1.577398571428571,1.5561842857142858,2026-02-24 14:34:00,1.55972,-2e-05,SL
93,2026-02-24 15:32:00,LONG,1.5588,1.5792749999999987,1.5547050000000002,2026-02-24 15:32:00,1.5588,-2e-05,SL
94,2026-02-24 15:47:00,LONG,1.55861,1.5799635714285707,1.554339285714286,2026-02-24 15:47:00,1.55861,-2e-05,SL
95,2026-02-24 16:47:00,LONG,1.55627,1.5770878571428564,1.5521064285714288,2026-02-24 16:47:00,1.55627,-2e-05,SL
96,2026-02-24 21:02:00,LONG,1.55852,1.568816428571428,1.5564607142857143,2026-02-24 21:02:00,1.55852,-2e-05,SL
97,2026-02-24 22:05:00,LONG,1.55844,1.5682328571428563,1.5564814285714288,2026-02-24 22:15:00,1.55844,-2e-05,SL
98,2026-02-24 23:31:00,LONG,1.55837,1.5682592857142852,1.556392142857143,2026-02-24 23:31:00,1.55837,-2e-05,SL
99,2026-02-24 23:46:00,LONG,1.55839,1.5686221428571427,1.5563435714285714,2026-02-24 23:46:00,1.55839,-2e-05,SL
100,2026-02-25 01:35:00,LONG,1.55679,1.5721435714285712,1.5537192857142856,2026-02-25 01:35:00,1.55679,-2e-05,SL
101,2026-02-25 03:08:00,LONG,1.55484,1.582182857142857,1.5493714285714286,2026-02-25 03:08:00,1.55484,-2e-05,SL
102,2026-02-25 09:33:00,LONG,1.56379,1.588229285714285,1.558902142857143,2026-02-25 09:33:00,1.56379,-2e-05,SL
103,2026-02-25 14:03:00,LONG,1.56652,1.580866428571429,1.5636507142857141,2026-02-25 14:03:00,1.56652,-2e-05,SL
104,2026-02-25 18:17:00,LONG,1.5629,1.5777392857142853,1.5599321428571429,2026-02-25 18:17:00,1.5629,-2e-05,SL
105,2026-02-25 20:31:00,LONG,1.56367,1.5742985714285713,1.5615442857142856,2026-02-25 20:31:00,1.56367,-2e-05,SL
106,2026-02-25 22:06:00,LONG,1.56303,1.5743442857142855,1.5607671428571428,2026-02-25 22:06:00,1.56303,-2e-05,SL
107,2026-02-27 08:06:00,LONG,1.5599,1.5752428571428572,1.5568314285714286,2026-02-27 08:06:00,1.5599,-2e-05,SL
108,2026-02-27 16:31:00,LONG,1.56024,1.5816364285714286,1.5559607142857144,2026-02-27 16:31:00,1.56024,-2e-05,SL
