sym,result,pnl,equity,entry_time,exit_time,month,date,entry_hour,h4_bucket,h4_key
EURUSD,win,2583578.0674043666,260941384.80784103,2025-08-12 09:00:00+00:00,2025-08-12 12:30:00+00:00,2025-08,2025-08-12,9,8,2025-08-12_08
EURUSD,win,2609413.8480784106,263550798.65591943,2025-08-12 13:00:00+00:00,2025-08-14 14:07:00+00:00,2025-08,2025-08-12,13,12,2025-08-12_12
EURUSD,win,2635507.986559194,266186306.64247862,2025-08-12 18:00:00+00:00,2025-08-13 02:07:00+00:00,2025-08,2025-08-12,18,16,2025-08-12_16
EURUSD,win,2661863.066424786,268848169.7089034,2025-08-13 07:00:00+00:00,2025-08-14 06:47:00+00:00,2025-08,2025-08-13,7,4,2025-08-13_04
EURUSD,loss,-5376963.394178067,263471206.3147253,2025-08-13 23:00:00+00:00,2025-08-14 02:34:00+00:00,2025-08,2025-08-13,23,20,2025-08-13_20
EURUSD,loss,-5269424.126294506,258201782.18843082,2025-08-14 00:00:00+00:00,2025-08-14 02:30:00+00:00,2025-08,2025-08-14,0,0,2025-08-14_00
EURUSD,loss,-5164035.643768616,253037746.5446622,2025-08-14 01:00:00+00:00,2025-08-14 02:19:00+00:00,2025-08,2025-08-14,1,0,2025-08-14_00
EURUSD,loss,-5060754.930893244,247976991.61376897,2025-08-14 02:00:00+00:00,2025-08-14 02:18:00+00:00,2025-08,2025-08-14,2,0,2025-08-14_00
EURUSD,win,14878619.496826136,262855611.1105951,2025-08-14 12:00:00+00:00,2025-08-14 12:30:00+00:00,2025-08,2025-08-14,12,12,2025-08-14_12
EURUSD,loss,-5257112.222211902,257598498.8883832,2025-08-14 13:00:00+00:00,2025-08-15 12:41:00+00:00,2025-08,2025-08-14,13,12,2025-08-14_12
EURUSD,win,2575984.988883832,260174483.87726703,2025-08-14 15:00:00+00:00,2025-08-15 03:32:00+00:00,2025-08,2025-08-14,15,12,2025-08-14_12
EURUSD,loss,-5203489.677545341,254970994.1997217,2025-08-14 16:00:00+00:00,2025-08-15 05:55:00+00:00,2025-08,2025-08-14,16,16,2025-08-14_16
EURUSD,loss,-5099419.883994434,249871574.31572726,2025-08-14 18:00:00+00:00,2025-08-14 19:32:00+00:00,2025-08,2025-08-14,18,16,2025-08-14_16
EURUSD,win,9994862.97262909,259866437.28835636,2025-08-15 03:00:00+00:00,2025-08-15 09:19:00+00:00,2025-08,2025-08-15,3,0,2025-08-15_00
EURUSD,win,10394657.491534255,270261094.7798906,2025-08-15 05:00:00+00:00,2025-08-15 08:12:00+00:00,2025-08,2025-08-15,5,4,2025-08-15_04
EURUSD,win,10810443.791195624,281071538.5710862,2025-08-15 06:00:00+00:00,2025-08-15 14:01:00+00:00,2025-08,2025-08-15,6,4,2025-08-15_04
EURUSD,loss,-5621430.771421725,275450107.7996645,2025-08-15 11:00:00+00:00,2025-08-15 12:31:00+00:00,2025-08,2025-08-15,11,8,2025-08-15_08
EURUSD,loss,-5509002.15599329,269941105.6436712,2025-08-15 12:00:00+00:00,2025-08-15 12:31:00+00:00,2025-08,2025-08-15,12,12,2025-08-15_12
EURUSD,win,10797644.22574685,280738749.8694181,2025-08-18 07:00:00+00:00,2025-08-19 01:24:00+00:00,2025-08,2025-08-18,7,4,2025-08-18_04
EURUSD,win,2807387.498694181,283546137.36811227,2025-08-18 10:00:00+00:00,2025-08-18 14:05:00+00:00,2025-08,2025-08-18,10,8,2025-08-18_08
EURUSD,loss,-5670922.747362246,277875214.62075,2025-08-18 18:00:00+00:00,2025-08-18 19:29:00+00:00,2025-08,2025-08-18,18,16,2025-08-18_16
EURUSD,win,2778752.1462075002,280653966.7669575,2025-08-19 01:00:00+00:00,2025-08-19 03:31:00+00:00,2025-08,2025-08-19,1,0,2025-08-19_00
EURUSD,loss,-5613079.33533915,275040887.4316184,2025-08-19 07:00:00+00:00,2025-08-19 18:16:00+00:00,2025-08,2025-08-19,7,4,2025-08-19_04
EURUSD,win,11001635.497264735,286042522.9288831,2025-08-19 09:00:00+00:00,2025-08-19 10:25:00+00:00,2025-08,2025-08-19,9,8,2025-08-19_08
EURUSD,win,2860425.229288831,288902948.1581719,2025-08-19 10:00:00+00:00,2025-08-19 11:33:00+00:00,2025-08,2025-08-19,10,8,2025-08-19_08
EURUSD,win,11556117.926326878,300459066.0844988,2025-08-19 15:00:00+00:00,2025-08-19 18:18:00+00:00,2025-08,2025-08-19,15,12,2025-08-19_12
EURUSD,win,3004590.660844988,303463656.7453438,2025-08-19 16:00:00+00:00,2025-08-20 12:32:00+00:00,2025-08,2025-08-19,16,16,2025-08-19_16
EURUSD,win,12138546.269813752,315602203.0151576,2025-08-19 18:00:00+00:00,2025-08-20 02:47:00+00:00,2025-08,2025-08-19,18,16,2025-08-19_16
EURUSD,win,12624088.120606303,328226291.1357639,2025-08-19 22:00:00+00:00,2025-08-20 00:10:00+00:00,2025-08,2025-08-19,22,20,2025-08-19_20
EURUSD,win,13129051.645430556,341355342.78119445,2025-08-19 23:00:00+00:00,2025-08-20 00:04:00+00:00,2025-08,2025-08-19,23,20,2025-08-19_20
EURUSD,win,3413553.4278119444,344768896.20900637,2025-08-20 00:00:00+00:00,2025-08-20 01:00:00+00:00,2025-08,2025-08-20,0,0,2025-08-20_00
EURUSD,loss,-6895377.924180128,337873518.2848262,2025-08-20 02:00:00+00:00,2025-08-20 07:20:00+00:00,2025-08,2025-08-20,2,0,2025-08-20_00
EURUSD,win,13514940.73139305,351388459.01621926,2025-08-20 16:00:00+00:00,2025-08-20 16:30:00+00:00,2025-08,2025-08-20,16,16,2025-08-20_16
