entry_time,exit_time,dir,pnl,result,exit_type,month,pair
2025-07-01 06:00:00+00:00,2025-07-01 07:56:00+00:00,1,18.04928571428661,win,HALF+SL,2025-07,EURJPY
2025-07-01 08:00:00+00:00,2025-07-01 10:45:00+00:00,-1,90.33187499999258,win,HALF+TP,2025-07,EURJPY
2025-07-01 11:00:00+00:00,2025-07-01 22:22:00+00:00,-1,-78.55517857142615,loss,SL,2025-07,EURJPY
2025-07-01 23:00:00+00:00,2025-07-02 15:15:00+00:00,1,-34.094464285715276,loss,SL,2025-07,EURJPY
2025-07-02 17:00:00+00:00,2025-07-03 15:43:00+00:00,1,117.2425000000004,win,HALF+TP,2025-07,EURJPY
2025-07-03 16:00:00+00:00,2025-07-09 02:16:00+00:00,1,257.69187500000896,win,HALF+TP,2025-07,EURJPY
2025-07-09 04:00:00+00:00,2025-07-09 12:22:00+00:00,1,-42.530357142854314,loss,SL,2025-07,EURJPY
2025-07-09 16:00:00+00:00,2025-07-09 16:05:00+00:00,1,-10.25642857142941,loss,SL,2025-07,EURJPY
2025-07-09 22:00:00+00:00,2025-07-10 00:48:00+00:00,1,14.020535714286098,win,HALF+SL,2025-07,EURJPY
2025-07-10 02:00:00+00:00,2025-07-10 02:45:00+00:00,-1,8.905357142856474,win,HALF+SL,2025-07,EURJPY
2025-07-10 05:00:00+00:00,2025-07-10 07:07:00+00:00,1,46.273750000005975,win,HALF+TP,2025-07,EURJPY
2025-07-10 08:00:00+00:00,2025-07-10 17:55:00+00:00,1,-47.99339285713984,loss,SL,2025-07,EURJPY
2025-07-10 20:00:00+00:00,2025-07-11 00:00:00+00:00,-1,9.97303571429029,win,HALF+SL,2025-07,EURJPY
2025-07-11 02:00:00+00:00,2025-07-11 02:57:00+00:00,-1,3.0589285714285097,win,HALF+SL,2025-07,EURJPY
2025-07-11 10:00:00+00:00,2025-07-11 12:44:00+00:00,1,48.57750000001033,win,HALF+TP,2025-07,EURJPY
2025-07-11 15:00:00+00:00,2025-07-14 00:04:00+00:00,1,25.415892857142808,win,HALF+SL,2025-07,EURJPY
2025-07-14 02:00:00+00:00,2025-07-16 07:07:00+00:00,1,142.22749999999564,win,HALF+TP,2025-07,EURJPY
2025-07-16 11:00:00+00:00,2025-07-16 12:32:00+00:00,1,-23.756785714283524,loss,SL,2025-07,EURJPY
2025-07-16 14:00:00+00:00,2025-07-16 15:00:00+00:00,1,-18.841607142854855,loss,SL,2025-07,EURJPY
2025-07-16 16:00:00+00:00,2025-07-23 02:47:00+00:00,-1,64.76500000000271,win,HALF+SL,2025-07,EURJPY
2025-07-23 03:00:00+00:00,2025-07-23 05:18:00+00:00,-1,23.40625000000216,win,HALF+SL,2025-07,EURJPY
2025-07-23 06:00:00+00:00,2025-07-23 13:03:00+00:00,1,-57.763749999998026,loss,SL,2025-07,EURJPY
2025-07-23 18:00:00+00:00,2025-07-23 18:55:00+00:00,-1,-18.443035714287248,loss,SL,2025-07,EURJPY
2025-07-23 21:00:00+00:00,2025-07-24 04:13:00+00:00,1,-31.22803571428676,loss,SL,2025-07,EURJPY
2025-07-24 05:00:00+00:00,2025-07-24 16:06:00+00:00,-1,-59.42267857142838,loss,SL,2025-07,EURJPY
2025-07-24 20:00:00+00:00,2025-07-28 14:36:00+00:00,1,70.94196428571422,win,HALF+SL,2025-07,EURJPY
2025-07-28 19:00:00+00:00,2025-07-29 08:55:00+00:00,-1,93.65687500000206,win,HALF+TP,2025-07,EURJPY
2025-07-29 09:00:00+00:00,2025-07-29 10:49:00+00:00,-1,28.229464285715267,win,HALF+SL,2025-07,EURJPY
2025-07-29 14:00:00+00:00,2025-07-29 15:23:00+00:00,-1,65.91999999999416,win,HALF+TP,2025-07,EURJPY
2025-07-29 18:00:00+00:00,2025-07-31 06:07:00+00:00,-1,183.4118749999874,win,HALF+TP,2025-07,EURJPY
2025-07-31 08:00:00+00:00,2025-07-31 10:34:00+00:00,-1,-61.92678571428587,loss,SL,2025-07,EURJPY
2025-07-31 14:00:00+00:00,2025-08-01 12:52:00+00:00,1,34.17857142857201,win,HALF+SL,2025-07,EURJPY
2025-08-01 20:00:00+00:00,2025-08-05 18:05:00+00:00,-1,60.483750000000214,win,HALF+SL,2025-08,EURJPY
2025-08-05 20:00:00+00:00,2025-08-13 06:21:00+00:00,1,291.77124999999364,win,HALF+TP,2025-08,EURJPY
2025-08-13 10:00:00+00:00,2025-08-13 10:28:00+00:00,1,-12.889107142856915,loss,SL,2025-08,EURJPY
2025-08-13 13:00:00+00:00,2025-08-13 15:05:00+00:00,1,-26.936428571426063,loss,SL,2025-08,EURJPY
2025-08-13 18:00:00+00:00,2025-08-14 03:02:00+00:00,1,-26.39035714285569,loss,SL,2025-08,EURJPY
2025-08-14 04:00:00+00:00,2025-08-18 16:50:00+00:00,-1,-88.08892857142894,loss,SL,2025-08,EURJPY
2025-08-19 00:00:00+00:00,2025-08-19 04:43:00+00:00,1,-33.80999999999972,loss,SL,2025-08,EURJPY
2025-08-19 10:00:00+00:00,2025-08-19 17:04:00+00:00,1,30.266964285715403,win,HALF+SL,2025-08,EURJPY
2025-08-19 19:00:00+00:00,2025-08-20 04:40:00+00:00,-1,95.0224999999989,win,HALF+TP,2025-08,EURJPY
2025-08-20 09:00:00+00:00,2025-08-20 09:07:00+00:00,-1,42.93687500000942,win,HALF+TP,2025-08,EURJPY
2025-08-20 10:00:00+00:00,2025-08-20 10:30:00+00:00,-1,-28.371607142855737,loss,SL,2025-08,EURJPY
