entry_time,exit_time,result,pnl,equity,tf,dir,pair
2025-06-27 08:00:00+00:00,2025-06-27 17:46:00+00:00,SL,9997.836250531329,1960349.2560569,4h,1,US500
2025-06-27 09:00:00+00:00,2025-06-27 17:46:00+00:00,SL,9996.994781115489,1970346.2508380155,1h,1,US500
2025-06-27 09:00:00+00:00,2025-06-27 14:01:00+00:00,TP,33933.271647914975,1740729.3356376307,1h,1,US30
2025-06-27 09:00:00+00:00,2025-06-27 12:15:00+00:00,SL,8833.889460347862,1210998.3274076907,1h,1,NAS100
2025-06-27 10:00:00+00:00,2025-06-27 17:50:00+00:00,SL,9990.385791381315,1663690.6182744964,1h,-1,XAUUSD
2025-06-27 12:00:00+00:00,2025-06-27 16:12:00+00:00,TP,34027.458644748905,1774756.7942823796,4h,1,US30
2025-06-27 12:00:00+00:00,2025-06-27 13:01:00+00:00,SL,-22048.46581085315,1188949.8615968376,1h,1,NAS100
2025-06-27 14:00:00+00:00,2025-06-27 18:28:00+00:00,SL,9979.501258293314,1784736.295540673,1h,1,US30
2025-06-30 06:00:00+00:00,2025-06-30 14:21:00+00:00,SL,-19253.47132436822,1951092.7795136473,1h,1,US500
2025-06-30 06:00:00+00:00,2025-06-30 13:35:00+00:00,SL,-19389.745066568445,1765346.5504741045,1h,1,US30
2025-06-30 07:00:00+00:00,2025-06-30 09:50:00+00:00,SL,-19354.228217145574,1745992.3222569588,1h,1,US30
2025-06-30 09:00:00+00:00,2025-06-30 19:58:00+00:00,SL,-19284.19384817304,1644406.4244263233,1h,-1,XAUUSD
2025-06-30 10:00:00+00:00,2025-07-01 07:00:00+00:00,SL,-19309.16886501175,1246912.597446837,1h,-1,XAGUSD
2025-06-30 11:00:00+00:00,2025-06-30 19:11:00+00:00,SL,-19292.1018706959,1625114.3225556274,1h,-1,XAUUSD
2025-06-30 11:00:00+00:00,2025-07-01 07:00:00+00:00,SL,-19318.225977426697,1227594.3714694104,1h,-1,XAGUSD
2025-06-30 12:00:00+00:00,2025-07-01 07:00:00+00:00,SL,-19300.61063486422,1208293.760834546,1h,-1,XAGUSD
2025-06-30 13:00:00+00:00,2025-07-01 09:30:00+00:00,SL,-19254.66815117482,1189039.0926833712,4h,-1,XAGUSD
2025-06-30 14:00:00+00:00,2025-06-30 14:01:00+00:00,SL,-20837.269666873366,1725155.0525900854,1h,1,US30
