entry_time,exit_time,result,pnl,equity,tf,dir,pair
2025-01-08 14:00:00+00:00,2025-01-08 16:36:00+00:00,SL,10000.0,1139791.5585001034,4h,-1,US30
2025-01-08 15:00:00+00:00,2025-01-08 16:38:00+00:00,SL,-19694.5117192965,1120097.046780807,1h,-1,US30
2025-01-08 15:00:00+00:00,2025-01-08 16:41:00+00:00,SL,-19710.40720898151,1208498.315468816,1h,-1,US500
2025-01-09 06:00:00+00:00,2025-01-09 07:47:00+00:00,SL,-19656.14691791363,1100440.8998628934,4h,1,US30
2025-01-09 12:00:00+00:00,2025-01-10 05:30:00+00:00,SL,9994.332557433592,1218492.6480262496,4h,-1,US500
2025-01-09 13:00:00+00:00,2025-01-09 13:02:00+00:00,SL,9951.448352678965,961087.9367354865,4h,1,XAUUSD
2025-01-09 14:00:00+00:00,2025-01-10 05:52:00+00:00,SL,10000.000000000002,1110440.8998628934,1h,-1,US30
2025-01-10 14:00:00+00:00,2025-01-13 23:12:00+00:00,SL,9018.524822741228,968481.1572101758,1h,-1,NAS100
2025-01-13 06:00:00+00:00,2025-01-13 12:25:00+00:00,SL,10000.000000000002,1120440.8998628934,4h,-1,US30
2025-01-13 06:00:00+00:00,2025-01-13 14:56:00+00:00,SL,9995.094174331578,1228487.7422005811,4h,-1,US500
2025-01-13 08:00:00+00:00,2025-01-13 12:37:00+00:00,SL,9999.999999999998,1130440.8998628934,4h,-1,US30
2025-01-13 09:00:00+00:00,2025-01-13 13:32:00+00:00,SL,-19564.556395325337,1110876.343467568,1h,-1,US30
2025-01-13 09:00:00+00:00,2025-01-16 16:54:00+00:00,SL,-19421.008606100353,941666.9281293862,4h,-1,XAUUSD
2025-01-13 10:00:00+00:00,2025-01-13 14:33:00+00:00,SL,-19539.995460890597,1091336.3480066773,4h,-1,US30
2025-01-13 14:00:00+00:00,2025-01-13 23:00:00+00:00,TP,34510.87987215879,1125847.2278788362,4h,1,US30
2025-01-13 15:00:00+00:00,2025-01-15 13:30:00+00:00,TP,34399.889320345974,1160247.1171991823,1h,1,US30
2025-01-14 05:00:00+00:00,2025-01-14 08:48:00+00:00,TP,34447.46768087175,1262935.2098814528,1h,1,US500
2025-01-14 05:00:00+00:00,2025-01-14 12:21:00+00:00,SL,9999.999999999998,1170247.1171991823,1h,1,US30
2025-01-14 06:00:00+00:00,2025-01-15 13:30:00+00:00,SL,-19527.89405967374,922139.0340697124,1h,-1,XAUUSD
2025-01-14 06:00:00+00:00,2025-01-14 14:02:00+00:00,SL,10000.0,1180247.1171991823,4h,1,US30
2025-01-14 06:00:00+00:00,2025-01-14 11:46:00+00:00,SL,9995.281329654006,1272930.4912111068,4h,1,US500
2025-01-14 08:00:00+00:00,2025-01-15 09:19:00+00:00,SL,-19556.23942254887,902582.7946471635,1h,-1,XAUUSD
2025-01-14 08:00:00+00:00,2025-01-14 11:47:00+00:00,SL,9995.232115109933,1282925.7233262167,4h,1,US500
2025-01-14 08:00:00+00:00,2025-01-14 14:02:00+00:00,SL,10000.000000000002,1190247.1171991823,4h,1,US30
