entry_time,exit_time,dir,ep,exit_price,result,equity,tf
2025-04-21 02:00:00+00:00,2025-04-21 03:11:00+00:00,1,0.5966699999999999,0.5988766964285713,win,2807646.0262219035,1h
2025-04-21 08:00:00+00:00,2025-04-21 17:26:00+00:00,1,0.60147,0.5993165357142858,loss,2751231.132960628,1h
2025-04-22 17:00:00+00:00,2025-04-22 22:00:00+00:00,-1,0.5988300000000001,0.5952118750000003,win,2847334.645964262,1h
2025-04-23 09:00:00+00:00,2025-04-23 13:47:00+00:00,1,0.59871,0.59871,loss,2875807.9924239046,1h
2025-04-23 12:00:00+00:00,2025-04-23 13:47:00+00:00,1,0.59885,0.59885,loss,2904566.0723481434,1h
2025-04-24 14:00:00+00:00,2025-04-24 14:52:00+00:00,1,0.59795,0.59795,loss,2933611.7330716248,1h
2025-04-25 17:00:00+00:00,2025-04-27 21:30:00+00:00,-1,0.5965400000000001,0.5965400000000001,loss,2962947.850402341,1h
2025-04-25 18:00:00+00:00,2025-04-27 21:29:00+00:00,-1,0.59643,0.59643,loss,2992577.3289063647,1h
2025-04-25 20:00:00+00:00,2025-04-27 21:30:00+00:00,-1,0.59648,0.59648,loss,3022503.102195428,1h
2025-04-27 23:00:00+00:00,2025-04-28 05:13:00+00:00,-1,0.5954400000000001,0.5968870714285713,loss,2961632.3925703224,1h
2025-04-28 13:00:00+00:00,2025-04-28 13:43:00+00:00,1,0.59481,0.5961931250000001,win,3064758.053471778,1h
2025-04-28 14:00:00+00:00,2025-04-29 00:49:00+00:00,1,0.59597,0.59597,loss,3095405.634006496,1h
2025-04-28 17:00:00+00:00,2025-04-29 00:01:00+00:00,1,0.5969,0.5969,loss,3126359.690346561,1h
2025-04-28 22:00:00+00:00,2025-04-29 00:21:00+00:00,-1,0.59777,0.5965066071428571,win,3235168.49412565,1h
2025-04-28 23:00:00+00:00,2025-04-29 02:08:00+00:00,-1,0.59741,0.59741,loss,3267520.179066906,1h
2025-04-29 06:00:00+00:00,2025-04-29 08:01:00+00:00,1,0.5954699999999999,0.5978129464285713,win,3381536.212090166,1h
2025-04-29 09:00:00+00:00,2025-04-29 14:21:00+00:00,-1,0.59663,0.5931229464285714,win,3499649.6123890085,1h
2025-04-29 20:00:00+00:00,2025-04-29 21:04:00+00:00,-1,0.59372,0.59372,loss,3534646.1085128984,1h
2025-04-29 22:00:00+00:00,2025-04-30 05:54:00+00:00,-1,0.59311,0.5943356071428572,loss,3463371.6421934036,1h
2025-04-30 11:00:00+00:00,2025-04-30 14:31:00+00:00,-1,0.59202,0.59202,loss,3498005.3586153374,1h
