entry_time,exit_time,dir,pnl,result,exit_type,month,period,pair
2025-12-10 08:00:00+00:00,2025-12-10 15:13:00+00:00,1,27.801071428572754,win,HALF+SL,2025-12,,EURJPY
2025-12-10 20:00:00+00:00,2025-12-11 01:36:00+00:00,1,17.869821428570276,win,HALF+SL,2025-12,,EURJPY
2025-12-11 03:00:00+00:00,2025-12-11 04:27:00+00:00,1,-30.955178571426245,loss,SL,2025-12,,EURJPY
2025-12-11 07:00:00+00:00,2025-12-11 15:30:00+00:00,1,27.296250000003397,win,HALF+SL,2025-12,,EURJPY
2025-12-11 18:00:00+00:00,2025-12-15 05:07:00+00:00,1,55.18482142857408,win,HALF+SL,2025-12,,EURJPY
2025-12-15 11:00:00+00:00,2025-12-15 14:28:00+00:00,-1,-17.119107142855228,loss,SL,2025-12,,EURJPY
2025-12-15 16:00:00+00:00,2025-12-16 21:19:00+00:00,1,-50.7042857142892,loss,SL,2025-12,,EURJPY
2025-12-16 23:00:00+00:00,2025-12-17 00:23:00+00:00,-1,5.692142857142812,win,HALF+SL,2025-12,,EURJPY
2025-12-17 03:00:00+00:00,2025-12-17 04:50:00+00:00,-1,-31.25249999999653,loss,SL,2025-12,,EURJPY
2025-12-17 06:00:00+00:00,2025-12-17 08:13:00+00:00,-1,-21.757857142853254,loss,SL,2025-12,,EURJPY
2025-12-17 10:00:00+00:00,2025-12-17 19:07:00+00:00,1,94.56312500000479,win,HALF+TP,2025-12,,EURJPY
2025-12-17 21:00:00+00:00,2025-12-18 00:55:00+00:00,1,-12.247500000000855,loss,SL,2025-12,,EURJPY
2025-12-18 03:00:00+00:00,2025-12-18 04:00:00+00:00,1,36.99875000000645,win,HALF+TP,2025-12,,EURJPY
2025-12-18 07:00:00+00:00,2025-12-18 09:01:00+00:00,1,33.56625000001543,win,HALF+TP,2025-12,,EURJPY
2025-12-18 20:00:00+00:00,2025-12-19 05:21:00+00:00,-1,-52.1201785714311,loss,SL,2025-12,,EURJPY
2025-12-19 09:00:00+00:00,2025-12-19 09:50:00+00:00,1,72.74000000000171,win,HALF+TP,2025-12,,EURJPY
2025-12-19 16:00:00+00:00,2025-12-22 03:47:00+00:00,1,31.669285714286843,win,HALF+SL,2025-12,,EURJPY
2025-12-22 05:00:00+00:00,2025-12-22 15:10:00+00:00,1,21.718035714286543,win,HALF+SL,2025-12,,EURJPY
2025-12-22 16:00:00+00:00,2025-12-23 03:15:00+00:00,1,-50.026964285714826,loss,SL,2025-12,,EURJPY
2025-12-23 04:00:00+00:00,2025-12-23 16:04:00+00:00,-1,64.82249999999965,win,HALF+SL,2025-12,,EURJPY
2025-12-23 21:00:00+00:00,2025-12-24 02:01:00+00:00,1,14.644107142859752,win,HALF+SL,2025-12,,EURJPY
