symbol,entry_time,exit_time,dir,ep,sl,tp,exit_price,result,lot,eff_risk,half_pnl,equity_after,pnl_delta,month
US30,2025-04-21 17:00:00+00:00,2025-04-22 09:56:00+00:00,-1,38527.35,38903.75,37596.84999999999,38527.35,BE,1.0178405526682306,0.02,28504.62467747391,2878967.0924248644,28504.62467747368,2025-04
EURJPY,2025-04-22 04:00:00+00:00,2025-04-22 12:01:00+00:00,-1,161.72189999999998,161.99583928571428,161.04440178571426,161.04440178571426,TP,198208.54922940934,0.015,26940.435222494463,3686141.4339679666,94083.40430203825,2025-04
US30,2025-04-22 16:00:00+00:00,2025-04-22 17:40:00+00:00,1,38549.3,38395.4625,38923.39375,38923.39375,TP,2.4924486922301043,0.02,28196.60472106965,2917787.787674956,98127.31556799123,2025-04
EURGBP,2025-04-22 16:00:00+00:00,2025-04-22 21:36:00+00:00,-1,0.85722,0.8585758571428572,0.8540053571428569,0.8540053571428569,TP,365710.0506213256,0.02,30703.375457736896,3176623.7574897925,106286.2117161029,2025-04
AUDUSD,2025-04-22 18:00:00+00:00,2025-04-23 00:00:00+00:00,-1,0.638199,0.6407779285714286,0.6317551785714286,0.638199,BE,133614.48808199103,0.02,25833.645478752594,2609198.193354012,25833.64547875244,2025-04
EURJPY,2025-04-22 22:00:00+00:00,2025-04-23 05:18:00+00:00,1,162.3631,161.57509642857144,164.32575892857136,161.57509642857144,SL,71949.72789418492,0.015,0.0,3713006.5651462143,-56696.642543931026,2025-04
USDJPY,2025-04-23 01:00:00+00:00,2025-04-25 04:00:00+00:00,1,142.0912,141.43086964285712,143.72732589285715,143.72732589285715,TP,47665.93199578522,0.02,15637.532491971178,1618384.5144618256,54631.26526470785,2025-04
AUDUSD,2025-04-23 06:00:00+00:00,2025-04-23 13:37:00+00:00,1,0.639691,0.6384237142857143,0.6428557142857141,0.6428557142857141,TP,274735.0684939652,0.02,26091.981933540123,2700499.5249912636,91301.33163725166,2025-04
US30,2025-04-23 14:00:00+00:00,2025-04-23 18:23:00+00:00,1,39970.5,39778.83214285714,40439.169642857145,39970.5,BE,2.06202782806517,0.02,29177.87787674956,2946965.6655517058,29177.877876749728,2025-04
EURJPY,2025-04-23 15:00:00+00:00,2025-04-23 21:44:00+00:00,1,161.9421,161.63423214285714,162.70441964285715,161.9421,BE,184890.78064614255,0.015,28266.828901820227,3797177.3491445174,28266.82890182035,2025-04
AUDUSD,2025-04-24 02:00:00+00:00,2025-04-24 06:53:00+00:00,-1,0.635599,0.6371391428571429,0.6317521428571429,0.6371391428571429,SL,231552.03621150908,0.02,0.0,2619443.987244494,-53493.48219420668,2025-04
EURJPY,2025-04-24 07:00:00+00:00,2025-04-24 12:22:00+00:00,1,161.99210000000002,161.80056071428572,162.46359821428572,161.99210000000002,BE,414899.60804149206,0.02,39299.14269525877,3969213.412221136,39299.14269525884,2025-04
AUDUSD,2025-04-24 13:00:00+00:00,2025-04-24 14:41:00+00:00,1,0.638171,0.6372780357142858,0.6403999107142857,0.6403999107142857,TP,395477.4825987428,0.02,26456.38427116939,2738206.111254838,92567.68413789896,2025-04
EURJPY,2025-04-24 16:00:00+00:00,2025-04-24 21:29:00+00:00,1,162.08010000000002,161.89748928571427,162.52927678571433,162.52927678571433,TP,439775.9355090974,0.02,39692.13412221136,4107674.1169165885,138460.70469545247,2025-04
EURJPY,2025-04-24 22:00:00+00:00,2025-04-25 00:58:00+00:00,1,162.50410000000002,162.3367142857143,162.91521428571428,162.3367142857143,SL,491864.7427532191,0.02,0.0,3982579.63559857,-82331.13129771361,2025-04
US30,2025-04-25 02:00:00+00:00,2025-04-25 13:18:00+00:00,1,40139.6,40037.57214285714,40384.169642857145,40037.57214285714,SL,3.967860829706302,0.02,0.0,2886240.8148673037,-60724.850684402045,2025-04
EURGBP,2025-04-25 03:00:00+00:00,2025-04-25 04:26:00+00:00,-1,0.85283,0.8532652142857143,0.8519169642857141,0.85283,BE,1374885.485554714,0.02,33876.04057268114,3421480.097840794,33876.040572681,2025-04
EURJPY,2025-04-25 07:00:00+00:00,2025-04-25 07:17:00+00:00,1,162.8221,162.68214285714288,163.16464285714278,162.8221,BE,577783.5740765936,0.02,39825.7963559857,4022405.4319545557,39825.79635598557,2025-04
AUDUSD,2025-04-25 13:00:00+00:00,2025-04-25 17:17:00+00:00,1,0.638111,0.6373225714285715,0.640078571428571,0.640078571428571,TP,463503.4883065258,0.02,27373.191723697935,2833090.5806411123,95771.40827131877,2025-04
EURJPY,2025-04-25 13:00:00+00:00,2025-04-25 13:55:00+00:00,1,162.82610000000003,162.64387857142856,163.27430357142865,163.27430357142865,TP,446632.6370889158,0.02,40224.05431954556,4162720.657804019,140315.22584946314,2025-04
EURJPY,2025-04-25 14:00:00+00:00,2025-04-25 19:55:00+00:00,1,163.2161,162.6729892857143,164.56652678571425,163.2161,BE,153886.81029358367,0.02,41627.20657804019,4204347.864382059,41627.206578040496,2025-04
AUDUSD,2025-04-25 19:00:00+00:00,2025-04-27 23:22:00+00:00,1,0.6402410000000001,0.6386859642857143,0.6441250892857142,0.6386859642857143,SL,247959.61248894795,0.02,0.0,2832197.793343884,-57837.907968114596,2025-04
EURGBP,2025-04-28 04:00:00+00:00,2025-04-28 06:40:00+00:00,-1,0.8541,0.8545835,0.8530662499999997,0.8530662499999997,TP,1269460.0916680251,0.02,35251.543662854674,3644468.8471143623,119314.48082889477,2025-04
US30,2025-04-28 05:00:00+00:00,2025-04-28 08:43:00+00:00,1,39966.0,39921.29571428571,40067.260714285716,39921.29571428571,SL,9.22763936746028,0.02,0.0,2824363.5608546007,-61877.254012702964,2025-04
EURGBP,2025-04-28 07:00:00+00:00,2025-04-30 13:02:00+00:00,-1,0.85217,0.8545438571428571,0.8464103571428572,0.85217,BE,245378.95413716848,0.02,36444.68847114362,3680913.535585506,36444.6884711436,2025-04
USDJPY,2025-04-28 09:00:00+00:00,2025-04-28 12:20:00+00:00,1,143.5462,143.25422500000002,144.26143749999994,143.25422500000002,SL,122105.67656768564,0.02,0.0,1721296.2487973303,-35651.80491584749,2025-04
US30,2025-04-28 10:00:00+00:00,2025-04-28 16:32:00+00:00,1,40032.0,39903.5625,40342.59375,40342.59375,TP,3.1051319474517016,0.02,29212.49914938546,3022795.0072732186,101545.09233467234,2025-04
EURJPY,2025-04-28 13:00:00+00:00,2025-04-28 14:40:00+00:00,-1,162.7239,162.88711785714287,162.32320535714283,162.7239,BE,521897.1923954896,0.02,42043.47864382059,4246391.34302588,42043.47864382062,2025-04
EURJPY,2025-04-28 15:00:00+00:00,2025-04-29 21:41:00+00:00,-1,162.54989999999998,162.82756785714287,161.8630803571428,161.8630803571428,TP,318954.1651086029,0.02,43946.75790288616,4548154.5410753535,153478.75078673754,2025-04
