dir,entry,exit,entry_time,exit_time,pnl,reason,pyramids
short,1.5856050000000002,1.5959999999999999,2026-01-13 20:16:00,2026-01-14 08:06:00,-10.39499999999971,SL,1
short,1.58094,1.5921599999999998,2026-01-14 11:34:00,2026-01-14 12:22:00,-11.219999999999786,SL,2
long,1.58667,1.5809600000000001,2026-01-14 17:03:00,2026-01-15 04:45:00,-5.709999999999882,Signal,2
short,1.5810200000000003,1.5910499999999999,2026-01-15 04:55:00,2026-01-15 06:43:00,-10.02999999999954,SL,2
short,1.5814750000000002,1.5916599999999999,2026-01-15 09:03:00,2026-01-15 09:14:00,-10.184999999999667,SL,1
long,1.5893849999999998,1.57921,2026-01-15 10:18:00,2026-01-15 10:34:00,-10.174999999999823,SL,1
long,1.5898933333333334,1.5799,2026-01-15 10:52:00,2026-01-15 11:23:00,-9.993333333333299,SL,2
long,1.5901999999999996,1.5802100000000001,2026-01-15 16:58:00,2026-01-15 17:58:00,-9.9899999999995,SL,2
long,1.5908899999999997,1.58088,2026-01-15 22:24:00,2026-01-15 22:51:00,-10.00999999999963,SL,2
long,1.5870966666666666,1.57708,2026-01-16 04:34:00,2026-01-16 07:24:00,-10.016666666666563,SL,2
long,1.586145,1.576,2026-01-16 09:33:00,2026-01-16 09:46:00,-10.144999999999849,SL,1
long,1.5860599999999998,1.57596,2026-01-16 11:28:00,2026-01-16 11:30:00,-10.099999999999776,SL,1
long,1.5856649999999999,1.5755000000000001,2026-01-16 14:06:00,2026-01-16 14:14:00,-10.164999999999758,SL,1
long,1.585985,1.5758100000000002,2026-01-16 14:17:00,2026-01-16 14:26:00,-10.174999999999823,SL,1
long,1.58569,1.5755700000000001,2026-01-16 14:29:00,2026-01-16 14:35:00,-10.119999999999907,SL,1
long,1.5854533333333334,1.57549,2026-01-16 16:50:00,2026-01-16 17:09:00,-9.963333333333324,SL,2
long,1.58611,1.5760200000000002,2026-01-16 17:44:00,2026-01-16 17:50:00,-10.08999999999971,SL,1
long,1.5871,1.57698,2026-01-16 18:16:00,2026-01-16 18:28:00,-10.119999999999907,SL,1
long,1.5870099999999998,1.5719600000000002,2026-01-16 18:35:00,2026-01-18 23:06:00,-15.049999999999564,SL,0
long,1.584015,1.5739,2026-01-19 03:08:00,2026-01-19 03:18:00,-10.114999999999874,SL,1
long,1.5839333333333332,1.5739400000000001,2026-01-19 04:40:00,2026-01-19 05:53:00,-9.993333333333076,SL,2
long,1.5840499999999997,1.57404,2026-01-19 06:04:00,2026-01-19 06:15:00,-10.00999999999963,SL,2
long,1.58365,1.5735400000000002,2026-01-19 06:23:00,2026-01-19 06:26:00,-10.109999999999841,SL,1
long,1.585865,1.5756400000000002,2026-01-19 09:05:00,2026-01-19 09:40:00,-10.224999999999929,SL,1
long,1.5844899999999997,1.57431,2026-01-19 10:06:00,2026-01-19 10:11:00,-10.179999999999634,SL,1
long,1.58446,1.5743,2026-01-19 10:14:00,2026-01-19 10:19:00,-10.159999999999947,SL,1
long,1.5837999999999999,1.5737,2026-01-19 10:41:00,2026-01-19 10:50:00,-10.099999999999776,SL,1
long,1.5859299999999998,1.57582,2026-01-19 11:51:00,2026-01-19 11:53:00,-10.109999999999841,SL,1
long,1.585535,1.5754000000000001,2026-01-19 11:59:00,2026-01-19 15:50:00,-10.134999999999783,SL,1
long,1.5853033333333333,1.5752700000000002,2026-01-19 18:08:00,2026-01-19 22:04:00,-10.033333333333116,SL,2
long,1.5852,1.5750700000000002,2026-01-20 02:53:00,2026-01-20 03:02:00,-10.12999999999975,SL,1
long,1.5847049999999998,1.5746,2026-01-20 03:44:00,2026-01-20 03:59:00,-10.104999999999809,SL,1
long,1.5851899999999999,1.57515,2026-01-20 04:01:00,2026-01-20 04:55:00,-10.039999999999827,SL,2
short,1.57945,1.5896,2026-01-20 06:52:00,2026-01-20 07:00:00,-10.149999999999881,SL,1
long,1.582685,1.57248,2026-01-20 09:46:00,2026-01-20 10:07:00,-10.204999999999798,SL,1
long,1.5846733333333332,1.57474,2026-01-20 10:39:00,2026-01-20 14:36:00,-9.933333333333128,SL,2
long,1.5854399999999997,1.57521,2026-01-20 15:18:00,2026-01-20 16:40:00,-10.22999999999974,SL,1
long,1.584245,1.5741500000000002,2026-01-21 02:46:00,2026-01-21 02:59:00,-10.094999999999743,SL,1
short,1.5786466666666668,1.5886099999999999,2026-01-21 21:04:00,2026-01-21 23:32:00,-9.963333333333102,SL,2
short,1.5795933333333334,1.5895599999999999,2026-01-22 03:04:00,2026-01-22 03:16:00,-9.966666666666457,SL,2
short,1.5816500000000002,1.59177,2026-01-22 05:23:00,2026-01-22 05:38:00,-10.119999999999685,SL,1
short,1.5818150000000002,1.5920699999999999,2026-01-22 13:48:00,2026-01-22 13:56:00,-10.254999999999681,SL,1
