time,dir,ep,sl,tp,risk,tf,pattern,entry_time,half_closed,wall_tp,next_h4_time,exit_time,exit_price,pnl,type
2024-09-05 00:00:00+00:00,-1,143.322,143.79536785714285,142.13858035714287,0.473367857142847,1h,double_top,2024-09-05 00:00:00+00:00,False,143.17,2024-09-05 04:00:00+00:00,2024-09-05 00:01:00+00:00,143.79536785714285,-47.3367857142847,SL
2024-09-05 02:00:00+00:00,-1,143.703,143.88593214285714,143.24566964285714,0.18293214285714043,1h,double_top,2024-09-05 02:00:00+00:00,False,143.17,2024-09-05 04:00:00+00:00,2024-09-05 02:01:00+00:00,143.88593214285714,-18.293214285714043,SL
2024-09-05 04:00:00+00:00,-1,143.76399999999998,143.94823571428572,143.30341071428563,0.18423571428573382,1h,double_top,2024-09-05 04:00:00+00:00,False,143.17,2024-09-05 08:00:00+00:00,2024-09-05 04:01:00+00:00,143.57976428571425,18.423571428573382,HALF_TP
2024-09-05 04:00:00+00:00,-1,143.76399999999998,143.76399999999998,143.30341071428563,0.18423571428573382,1h,double_top,2024-09-05 04:00:00+00:00,True,143.17,2024-09-05 08:00:00+00:00,2024-09-05 04:01:00+00:00,143.76399999999998,-0.0,SL
2024-09-05 05:00:00+00:00,-1,143.571,143.9201,142.69825000000003,0.34909999999999286,1h,double_top,2024-09-05 05:00:00+00:00,False,143.17,2024-09-05 08:00:00+00:00,2024-09-05 06:00:00+00:00,143.2219,34.909999999999286,HALF_TP
2024-09-05 05:00:00+00:00,-1,143.571,143.571,142.69825000000003,0.34909999999999286,1h,double_top,2024-09-05 05:00:00+00:00,True,143.17,2024-09-05 08:00:00+00:00,2024-09-05 06:00:00+00:00,143.17,40.100000000001046,SWING_TP
2024-09-05 08:00:00+00:00,-1,143.605,144.00491428571428,142.60521428571428,0.39991428571428855,4h,double_top,2024-09-05 08:00:00+00:00,False,143.17,2024-10-02 00:00:00+00:00,2024-10-02 02:00:00+00:00,144.00491428571428,-39.991428571428855,SL
2024-10-02 05:00:00+00:00,-1,143.725,144.232425,142.45643749999996,0.507425000000012,1h,double_top,2024-10-02 05:00:00+00:00,False,143.17,2024-10-02 08:00:00+00:00,2024-10-02 08:00:00+00:00,144.232425,-50.7425000000012,SL
2024-10-02 10:00:00+00:00,-1,144.25699999999998,144.4556142857143,143.7604642857142,0.1986142857143136,1h,double_top,2024-10-02 10:00:00+00:00,False,143.527,2024-10-02 12:00:00+00:00,2024-10-02 10:01:00+00:00,144.4556142857143,-19.86142857143136,SL
2024-10-02 13:00:00+00:00,1,145.369,144.5589857142857,147.39403571428574,0.8100142857142885,1h,double_bottom,2024-10-02 13:00:00+00:00,False,146.263,2024-10-02 16:00:00+00:00,2024-10-02 14:00:00+00:00,146.1790142857143,81.00142857142885,HALF_TP
2024-10-02 13:00:00+00:00,1,145.369,145.369,147.39403571428574,0.8100142857142885,1h,double_bottom,2024-10-02 13:00:00+00:00,True,146.263,2024-10-02 16:00:00+00:00,2024-10-02 14:00:00+00:00,146.263,89.40000000000055,SWING_TP
2024-10-02 18:00:00+00:00,1,146.168,145.84923214285712,146.96491964285724,0.3187678571428876,1h,double_bottom,2024-10-02 18:00:00+00:00,False,146.5,2024-10-02 20:00:00+00:00,2024-10-02 19:00:00+00:00,146.4867678571429,31.876785714288758,HALF_TP
2024-10-02 18:00:00+00:00,1,146.168,146.168,146.96491964285724,0.3187678571428876,1h,double_bottom,2024-10-02 18:00:00+00:00,True,146.5,2024-10-02 20:00:00+00:00,2024-10-02 19:00:00+00:00,146.5,33.19999999999936,SWING_TP
2024-10-02 21:00:00+00:00,1,146.464,146.23941071428573,147.02547321428568,0.2245892857142735,1h,double_bottom,2024-10-02 21:00:00+00:00,False,146.893,2024-10-03 00:00:00+00:00,2024-10-02 21:01:00+00:00,146.23941071428573,-22.45892857142735,SL
2024-10-02 23:00:00+00:00,1,146.58800000000002,146.17624285714288,147.61739285714287,0.41175714285714093,1h,double_bottom,2024-10-02 23:00:00+00:00,False,146.893,2024-10-03 00:00:00+00:00,2024-10-03 00:00:00+00:00,146.99975714285716,41.17571428571409,HALF_TP
2024-10-02 23:00:00+00:00,1,146.58800000000002,146.58800000000002,147.61739285714287,0.41175714285714093,1h,double_bottom,2024-10-02 23:00:00+00:00,True,146.893,2024-10-03 00:00:00+00:00,2024-10-03 00:00:00+00:00,146.58800000000002,0.0,SL
2024-10-03 01:00:00+00:00,1,146.991,146.36727499999998,148.5503125000001,0.6237250000000358,1h,double_bottom,2024-10-03 01:00:00+00:00,False,147.24,2024-10-03 04:00:00+00:00,2024-10-03 07:00:00+00:00,146.36727499999998,-62.37250000000358,SL
2024-10-03 09:00:00+00:00,1,146.746,146.2443714285714,148.00007142857152,0.5016285714285971,1h,double_bottom,2024-10-03 09:00:00+00:00,False,147.24,2024-10-03 12:00:00+00:00,2024-10-04 04:00:00+00:00,146.2443714285714,-50.16285714285971,SL
2024-10-04 07:00:00+00:00,1,146.222,145.88534285714286,147.0636428571429,0.336657142857149,1h,double_bottom,2024-10-04 07:00:00+00:00,False,146.966,2024-10-04 08:00:00+00:00,2024-10-04 10:00:00+00:00,146.55865714285716,33.6657142857149,HALF_TP
2024-10-04 07:00:00+00:00,1,146.222,146.222,147.0636428571429,0.336657142857149,1h,double_bottom,2024-10-04 07:00:00+00:00,True,146.966,2024-10-04 08:00:00+00:00,2024-10-04 10:00:00+00:00,146.476,25.399999999999068,H4_EXPIRE
2024-10-04 12:00:00+00:00,1,146.592,146.35773571428572,147.17766071428574,0.23426428571428914,1h,double_bottom,2024-10-04 12:00:00+00:00,False,146.966,2024-10-04 16:00:00+00:00,2024-10-04 12:01:00+00:00,146.8262642857143,23.426428571428914,HALF_TP
2024-10-04 12:00:00+00:00,1,146.592,146.592,147.17766071428574,0.23426428571428914,1h,double_bottom,2024-10-04 12:00:00+00:00,True,146.966,2024-10-04 16:00:00+00:00,2024-10-04 12:01:00+00:00,146.592,0.0,SL
2024-10-04 15:00:00+00:00,1,148.495,148.24967857142855,149.10830357142865,0.245321428571458,1h,double_bottom,2024-10-04 15:00:00+00:00,False,148.8,2024-10-04 16:00:00+00:00,2024-10-04 15:01:00+00:00,148.74032142857146,24.5321428571458,HALF_TP
2024-10-04 15:00:00+00:00,1,148.495,148.495,149.10830357142865,0.245321428571458,1h,double_bottom,2024-10-04 15:00:00+00:00,True,148.8,2024-10-04 16:00:00+00:00,2024-10-04 15:01:00+00:00,148.495,0.0,SL
2024-10-04 16:00:00+00:00,1,148.696,148.24803928571427,149.81590178571432,0.4479607142857276,1h,double_bottom,2024-10-04 16:00:00+00:00,False,148.8,2024-10-04 20:00:00+00:00,2024-10-07 02:00:00+00:00,148.24803928571427,-44.79607142857276,SL
2024-10-07 05:00:00+00:00,1,148.541,148.29440714285715,149.1574821428571,0.2465928571428435,1h,double_bottom,2024-10-07 05:00:00+00:00,False,149.001,2024-10-07 08:00:00+00:00,2024-10-07 07:00:00+00:00,148.29440714285715,-24.65928571428435,SL
2024-10-07 11:00:00+00:00,1,148.63500000000002,148.1524607142857,149.84134821428583,0.48253928571432425,1h,double_bottom,2024-10-07 11:00:00+00:00,False,149.001,2024-11-03 20:00:00+00:00,2024-11-03 22:00:00+00:00,149.11753928571434,48.253928571432425,HALF_TP
