time,dir,ep,sl,tp,risk,entry_time,half_closed,exit_time,exit_price,pnl,type
2024-08-02 12:30:00+00:00,-1,149.00099999999998,149.00099999999998,148.73742857142847,0.10542857142860385,2024-08-02 12:30:00+00:00,True,2024-08-02 12:31:00+00:00,149.00099999999998,-0.0,SL
2024-08-02 13:00:00+00:00,-1,147.434,147.59915714285714,147.02110714285715,0.16515714285714012,2024-08-02 13:00:00+00:00,False,2024-08-02 13:01:00+00:00,147.26884285714286,16.51571428571401,HALF_TP
2024-08-02 13:00:00+00:00,-1,147.434,147.434,147.02110714285715,0.16515714285714012,2024-08-02 13:00:00+00:00,True,2024-08-02 13:01:00+00:00,147.434,-0.0,SL
2024-08-02 13:30:00+00:00,-1,147.434,148.23534285714285,145.43064285714286,0.8013428571428562,2024-08-02 13:30:00+00:00,False,2024-08-02 14:00:00+00:00,146.63265714285714,80.13428571428562,HALF_TP
2024-08-02 13:30:00+00:00,-1,147.434,147.434,145.43064285714286,0.8013428571428562,2024-08-02 13:30:00+00:00,True,2024-08-02 16:00:00+00:00,147.434,-0.0,SL
2024-08-02 16:15:00+00:00,-1,146.974,147.53814285714287,145.56364285714278,0.5641428571428833,2024-08-02 16:15:00+00:00,False,2024-08-04 22:00:00+00:00,146.4098571428571,56.414285714288326,HALF_TP
2024-08-02 16:15:00+00:00,-1,146.974,146.974,145.56364285714278,0.5641428571428833,2024-08-02 16:15:00+00:00,True,2024-08-04 23:00:00+00:00,145.56364285714278,141.03571428572081,TP
2024-08-05 00:15:00+00:00,-1,145.58499999999998,145.98914285714287,144.57464285714275,0.40414285714288667,2024-08-05 00:15:00+00:00,False,2024-08-05 00:16:00+00:00,145.1808571428571,40.41428571428867,HALF_TP
2024-08-05 00:15:00+00:00,-1,145.58499999999998,145.58499999999998,144.57464285714275,0.40414285714288667,2024-08-05 00:15:00+00:00,True,2024-08-05 00:16:00+00:00,145.58499999999998,-0.0,SL
2024-08-05 00:45:00+00:00,-1,145.58499999999998,145.77352857142856,145.11367857142852,0.18852857142857715,2024-08-05 00:45:00+00:00,False,2024-08-05 00:46:00+00:00,145.3964714285714,18.852857142857715,HALF_TP
2024-08-05 00:45:00+00:00,-1,145.58499999999998,145.58499999999998,145.11367857142852,0.18852857142857715,2024-08-05 00:45:00+00:00,True,2024-08-05 00:46:00+00:00,145.58499999999998,-0.0,SL
2024-08-05 02:30:00+00:00,-1,145.093,145.62684285714286,143.7583928571428,0.5338428571428722,2024-08-05 02:30:00+00:00,False,2024-08-05 03:00:00+00:00,144.55915714285712,53.384285714287216,HALF_TP
2024-08-05 02:30:00+00:00,-1,145.093,145.093,143.7583928571428,0.5338428571428722,2024-08-05 02:30:00+00:00,True,2024-08-05 03:00:00+00:00,145.093,-0.0,SL
2024-08-05 05:00:00+00:00,-1,143.153,143.80274285714285,141.52864285714287,0.6497428571428543,2024-08-05 05:00:00+00:00,False,2024-08-05 05:01:00+00:00,142.50325714285714,64.97428571428543,HALF_TP
2024-08-05 05:00:00+00:00,-1,143.153,143.153,141.52864285714287,0.6497428571428543,2024-08-05 05:00:00+00:00,True,2024-08-05 05:01:00+00:00,143.153,-0.0,SL
2024-08-05 05:15:00+00:00,-1,143.153,143.59225714285716,142.05485714285706,0.43925714285717277,2024-08-05 05:15:00+00:00,False,2024-08-05 05:16:00+00:00,142.71374285714282,43.92571428571728,HALF_TP
2024-08-05 05:15:00+00:00,-1,143.153,143.153,142.05485714285706,0.43925714285717277,2024-08-05 05:15:00+00:00,True,2024-08-05 05:16:00+00:00,143.153,-0.0,SL
2024-08-05 05:30:00+00:00,-1,143.153,143.66154285714288,141.88164285714277,0.5085428571428849,2024-08-05 05:30:00+00:00,False,2024-08-05 05:31:00+00:00,142.6444571428571,50.854285714288494,HALF_TP
2024-08-05 05:30:00+00:00,-1,143.153,143.153,141.88164285714277,0.5085428571428849,2024-08-05 05:30:00+00:00,True,2024-08-05 05:31:00+00:00,143.153,-0.0,SL
2024-08-05 06:00:00+00:00,-1,142.64,143.17475714285712,141.30310714285716,0.5347571428571314,2024-08-05 06:00:00+00:00,False,2024-08-05 06:01:00+00:00,142.10524285714285,53.47571428571314,HALF_TP
2024-08-05 06:00:00+00:00,-1,142.64,142.64,141.30310714285716,0.5347571428571314,2024-08-05 06:00:00+00:00,True,2024-08-05 06:01:00+00:00,142.64,-0.0,SL
2024-08-05 06:45:00+00:00,-1,142.64,143.17568571428572,141.30078571428567,0.5356857142857336,2024-08-05 06:45:00+00:00,False,2024-08-05 06:46:00+00:00,142.10431428571425,53.568571428573364,HALF_TP
2024-08-05 06:45:00+00:00,-1,142.64,142.64,141.30078571428567,0.5356857142857336,2024-08-05 06:45:00+00:00,True,2024-08-05 06:46:00+00:00,142.64,-0.0,SL
2024-08-05 07:00:00+00:00,-1,142.75099999999998,143.25639999999999,141.48749999999995,0.5054000000000087,2024-08-05 07:00:00+00:00,False,2024-08-05 07:01:00+00:00,143.25639999999999,-50.54000000000087,SL
2024-08-05 08:00:00+00:00,-1,143.469,144.11767142857144,141.84732142857138,0.648671428571447,2024-08-05 08:00:00+00:00,False,2024-08-05 08:01:00+00:00,142.82032857142855,64.8671428571447,HALF_TP
2024-08-05 08:00:00+00:00,-1,143.469,143.469,141.84732142857138,0.648671428571447,2024-08-05 08:00:00+00:00,True,2024-08-05 08:01:00+00:00,143.469,-0.0,SL
2024-08-05 11:15:00+00:00,-1,142.38,143.06732857142856,140.66167857142858,0.6873285714285657,2024-08-05 11:15:00+00:00,False,2024-08-05 14:00:00+00:00,143.06732857142856,-68.73285714285657,SL
2024-08-05 14:15:00+00:00,-1,142.73999999999998,143.94375714285715,139.73060714285705,1.203757142857171,2024-08-05 14:15:00+00:00,False,2024-08-05 15:00:00+00:00,143.94375714285715,-120.3757142857171,SL
2024-08-05 16:15:00+00:00,-1,143.945,144.54571428571427,142.4432142857143,0.6007142857142753,2024-08-05 16:15:00+00:00,False,2024-08-05 16:16:00+00:00,144.54571428571427,-60.07142857142753,SL
