sym,cat,logic,is_n,is_wr,is_pf,is_total,is_plus_months,is_total_months,is_mdd,is_final_eq,oos_n,oos_wr,oos_pf,oos_total,oos_plus_months,oos_total_months,oos_mdd,oos_final_eq
CADJPY,JPY,B,123,0.5121951219512195,0.6342128838173797,-433196.3865658771,1,5,50.650325790658854,566803.6134341231,339,0.504424778761062,0.6234910742792602,-806912.9413539694,0,9,80.69129413539696,193087.0586460304
CADJPY,JPY,C,396,0.5782828282828283,1.1899764919118914,1032627.828666644,4,5,28.04579689905216,2032627.8286666432,853,0.5287221570926143,0.85470800933624,-767055.1602909404,2,9,87.78143725186787,232944.83970906067
EURGBP,FX,A,296,0.6621621621621622,1.6919816390547502,5027091.891985318,4,5,29.134836685782766,6027091.891985319,467,0.6466809421841542,1.564592962528009,13950280.787140317,9,9,25.680843470125293,14950280.787140323
EURGBP,FX,B,273,0.6483516483516484,1.605950795519612,3756918.9068937134,4,5,20.277516073363202,4756918.9068937125,335,0.6328358208955224,1.3842243246692754,3170188.416098199,7,9,27.469415319214853,4170188.4160982007
EURGBP,FX,C,474,0.5949367088607594,1.3855809489346311,3815241.8612546856,3,5,25.98918059393561,4815241.861254686,891,0.5948372615039281,1.2768241423728994,14907366.284424845,7,9,37.830941605840124,15907366.284424849
GBPJPY,JPY,A,174,0.5057471264367817,1.0410326309718518,83044.33682942661,4,5,36.21882064402684,1083044.3368294267,409,0.4400977995110024,0.5506599969792862,-819407.3011171767,1,9,87.86002295407152,180592.69888282308
GBPJPY,JPY,B,141,0.5035460992907801,1.0295937637355799,52211.30795644919,3,5,27.87747948742505,1052211.307956448,285,0.43859649122807015,0.6331648390302396,-698183.4166003348,1,9,75.41001073569899,301816.5833996654
GBPJPY,JPY,C,337,0.4688427299703264,0.8977519095421378,-339870.83465953055,2,5,56.776578675181035,660129.1653404689,744,0.4489247311827957,0.5836872867756956,-903440.906055845,2,9,95.57335320572987,96559.09394415506
XAGUSD,METALS,A,91,0.6483516483516484,1.6348922496258014,614500.428572236,4,5,18.806549311672587,1614500.428572238,225,0.68,1.7203355195366004,4636119.745441723,7,9,15.387228126130953,5636119.745441722
XAGUSD,METALS,B,61,0.5409836065573771,1.1388528871506856,91399.31985037698,3,4,23.330105795892916,1091399.3198503773,183,0.6939890710382514,1.839967252826031,3038921.8320484944,6,9,13.283843369746902,4038921.832048493
XAGUSD,METALS,C,157,0.6496815286624203,1.9396062686690063,1670529.2181337252,4,5,15.127325185798727,2670529.2181337257,293,0.6723549488054608,1.7012456806601834,5903434.660432567,8,9,11.477416230626723,6903434.660432569
