entry_time,exit_time,dir,pnl,result,exit_type,month,pair
2025-03-12 19:00:00+00:00,2025-03-13 07:17:00+00:00,1,-59.692678571428814,loss,SL,2025-03,GBPJPY
2025-03-13 17:00:00+00:00,2025-03-13 17:21:00+00:00,-1,-31.614107142854664,loss,SL,2025-03,GBPJPY
2025-03-13 18:00:00+00:00,2025-03-14 01:07:00+00:00,-1,36.98142857143125,win,HALF+SL,2025-03,GBPJPY
2025-03-14 02:00:00+00:00,2025-03-14 09:35:00+00:00,1,110.90187500000752,win,HALF+TP,2025-03,GBPJPY
2025-03-14 10:00:00+00:00,2025-03-14 10:09:00+00:00,1,-31.8089285714251,loss,SL,2025-03,GBPJPY
2025-03-14 12:00:00+00:00,2025-03-14 17:20:00+00:00,1,-54.64535714285432,loss,SL,2025-03,GBPJPY
2025-03-17 01:00:00+00:00,2025-03-17 02:00:00+00:00,1,-26.71196428571534,loss,SL,2025-03,GBPJPY
2025-03-17 04:00:00+00:00,2025-03-17 15:30:00+00:00,1,44.625535714288844,win,HALF+SL,2025-03,GBPJPY
2025-03-17 16:00:00+00:00,2025-03-20 03:13:00+00:00,1,75.96982142857485,win,HALF+SL,2025-03,GBPJPY
2025-03-20 07:00:00+00:00,2025-03-20 09:29:00+00:00,-1,60.40999999999883,win,HALF+TP,2025-03,GBPJPY
2025-03-20 12:00:00+00:00,2025-03-20 15:04:00+00:00,-1,50.53107142857414,win,HALF+SL,2025-03,GBPJPY
2025-03-20 16:00:00+00:00,2025-03-20 17:17:00+00:00,-1,-66.8680357142847,loss,SL,2025-03,GBPJPY
2025-03-20 20:00:00+00:00,2025-03-21 04:13:00+00:00,-1,-43.72446428571379,loss,SL,2025-03,GBPJPY
2025-03-21 10:00:00+00:00,2025-03-21 10:26:00+00:00,1,-31.721071428569303,loss,SL,2025-03,GBPJPY
2025-03-21 13:00:00+00:00,2025-03-21 15:54:00+00:00,-1,119.64750000001061,win,HALF+TP,2025-03,GBPJPY
2025-03-21 16:00:00+00:00,2025-03-24 03:58:00+00:00,-1,-138.44321428571504,loss,SL,2025-03,GBPJPY
2025-03-24 04:00:00+00:00,2025-03-25 18:20:00+00:00,1,115.35160714286121,win,HALF+SL,2025-03,GBPJPY
2025-03-25 19:00:00+00:00,2025-03-26 07:59:00+00:00,1,109.78375000001392,win,HALF+TP,2025-03,GBPJPY
2025-03-26 12:00:00+00:00,2025-03-27 12:27:00+00:00,-1,-112.87285714285815,loss,SL,2025-03,GBPJPY
2025-03-27 18:00:00+00:00,2025-03-28 10:55:00+00:00,1,-76.21571428571201,loss,SL,2025-03,GBPJPY
2025-03-28 15:00:00+00:00,2025-03-28 15:05:00+00:00,1,-13.137857142857001,loss,SL,2025-03,GBPJPY
2025-03-28 16:00:00+00:00,2025-03-28 16:08:00+00:00,-1,-21.302142857140893,loss,SL,2025-03,GBPJPY
2025-03-28 20:00:00+00:00,2025-04-02 18:04:00+00:00,-1,111.98232142857307,win,HALF+SL,2025-03,GBPJPY
2025-04-02 20:00:00+00:00,2025-04-03 01:09:00+00:00,1,-196.2273214285716,loss,SL,2025-04,GBPJPY
2025-04-03 03:00:00+00:00,2025-04-03 09:30:00+00:00,-1,45.41500000000269,win,HALF+SL,2025-04,GBPJPY
2025-04-03 12:00:00+00:00,2025-04-03 16:43:00+00:00,-1,188.3050000000054,win,HALF+TP,2025-04,GBPJPY
2025-04-03 23:00:00+00:00,2025-04-04 12:06:00+00:00,-1,226.02000000000544,win,HALF+TP,2025-04,GBPJPY
2025-04-04 13:00:00+00:00,2025-04-04 13:52:00+00:00,-1,162.00937500000805,win,HALF+TP,2025-04,GBPJPY
2025-04-04 14:00:00+00:00,2025-04-07 04:20:00+00:00,-1,164.97910714285808,win,HALF+SL,2025-04,GBPJPY
2025-04-07 07:00:00+00:00,2025-04-07 08:18:00+00:00,-1,38.753750000003606,win,HALF+SL,2025-04,GBPJPY
2025-04-07 10:00:00+00:00,2025-04-07 17:10:00+00:00,-1,-143.16982142856887,loss,SL,2025-04,GBPJPY
2025-04-07 22:00:00+00:00,2025-04-08 17:00:00+00:00,-1,72.73178571428787,win,HALF+SL,2025-04,GBPJPY
2025-04-09 02:00:00+00:00,2025-04-09 04:02:00+00:00,-1,41.055714285715794,win,HALF+SL,2025-04,GBPJPY
2025-04-09 08:00:00+00:00,2025-04-09 20:21:00+00:00,-1,99.41803571429091,win,HALF+SL,2025-04,GBPJPY
