sym,logic,init_cash,label,nocap_pf,nocap_sharpe,nocap_mdd,nocap_eq,nocap_n,cap_pf,cap_sharpe,cap_mdd,cap_eq,cap_n,cap_count,cap_pct,pf_diff,eq_diff_pct
EURUSD,C,500000000,5億円,2.012004553989113,5.387072843682465,22.671082031148696,1138639595991.6868,1295,1.5424982969352428,3.5759136913922727,17.946265097731885,1285392177.323864,1295,1283,99.07335907335907,-0.46950625705387017,-99.88711158633083
EURUSD,C,1000000000,10億円,2.012004553989113,5.387072843682465,22.671082031148696,2277279191983.3735,1295,1.5340929697375862,3.469237789754563,11.565613273363114,1786225931.9107156,1295,1296,100.07722007722009,-0.4779115842515267,-99.9215631557958
GBPUSD,A,1000000,100万円,1.8077561544020637,6.01236364170316,19.149872218364685,154384298.6507608,728,2.1447710032707246,5.4283657720023415,19.149872218364685,97410849.33628367,728,193,26.51098901098901,0.33701484886866084,-36.90365523722018
GBPUSD,A,10000000,"1,000万円",1.8077561544020633,6.01236364170316,19.149872218364674,1543842986.507607,728,2.327027518362053,5.071198332902358,14.691430164263808,353374781.2803005,728,390,53.57142857142857,0.5192713639599897,-77.11070462679078
GBPUSD,A,50000000,"5,000万円",1.807756154402063,6.012363641703159,19.149872218364646,7719214932.538057,728,2.26821851679803,4.884861169717077,13.233068881019397,583251905.5559314,728,546,75.0,0.46046236239596716,-92.44415512907399
GBPUSD,A,100000000,1億円,1.807756154402063,6.012363641703159,19.149872218364646,15438429865.076115,728,2.2339659943058923,4.697569883931767,11.107781956154065,717353808.1824415,728,603,82.82967032967034,0.4262098399038292,-95.35345359306781
GBPUSD,A,500000000,5億円,1.8077561544020635,6.0123636417031605,19.149872218364695,77192149325.38039,728,2.1033641759105683,3.926982972153184,5.937013279798096,1216007521.4629962,728,728,100.0,0.29560802150850485,-98.42470052707397
GBPUSD,A,1000000000,10億円,1.8077561544020635,6.0123636417031605,19.149872218364695,154384298650.76077,728,2.1146243793578705,4.012884348519611,2.9406201876576943,1723314619.642812,728,732,100.54945054945054,0.306868224955807,-98.8837500738717
USDCAD,A,1000000,100万円,1.8612020431007268,3.818449921987674,25.210667320280155,138385102.3253507,853,1.9732622706464837,4.04070133031596,25.210667320280184,58273348.63286964,853,210,24.6189917936694,0.11206022754575695,-57.89044654830987
USDCAD,A,10000000,"1,000万円",1.8612020431007272,3.818449921987674,25.210667320280116,1383851023.2535093,853,1.9005121161741416,3.76810348355757,24.38439087315963,159036111.76556936,853,456,53.458382180539274,0.03931007307341439,-88.50771440760532
USDCAD,A,50000000,"5,000万円",1.861202043100727,3.818449921987673,25.210667320280166,6919255116.267538,853,1.7806580655990674,4.157064274973069,22.846353843348098,301112941.75953346,853,645,75.61547479484173,-0.08054397750165965,-95.64818847260594
USDCAD,A,100000000,1億円,1.861202043100727,3.818449921987673,25.210667320280166,13838510232.535076,853,1.6734573190320734,3.9782647506186777,22.233306182503433,374644494.014143,853,728,85.34583821805393,-0.1877447240686536,-97.29273969727366
USDCAD,A,500000000,5億円,1.8612020431007266,3.818449921987674,25.210667320280205,69192551162.67519,853,1.5620926165968534,3.627318102809734,11.299186350188657,795644405.3827875,853,852,99.88276670574443,-0.2991094265038732,-98.85010107011058
USDCAD,A,1000000000,10億円,1.8612020431007266,3.818449921987674,25.210667320280205,138385102325.35037,853,1.5598517762351665,3.5214037913306524,6.238251999563631,1295093433.6195955,853,854,100.11723329425557,-0.3013502668655601,-99.06413811034747
NZDUSD,A,1000000,100万円,1.9076310057044659,3.9332416101156946,16.400168310068338,32412659.183673892,445,1.9278656996113694,3.7499232844519184,16.172343107903092,23870550.093726426,445,82,18.426966292134832,0.020234693906903578,-26.354237218062277
NZDUSD,A,10000000,"1,000万円",1.9076310057044656,3.9332416101156946,16.400168310068302,324126591.83673906,445,1.9250090832855329,3.4379605196623153,13.823163694377635,99127339.44542414,445,203,45.61797752808989,0.01737807758106724,-69.41709136430433
NZDUSD,A,50000000,"5,000万円",1.9076310057044654,3.9332416101156933,16.400168310068327,1620632959.1836972,445,1.8949481386240001,3.494739720150371,13.018786065015892,231242947.3950419,445,339,76.17977528089888,-0.012682867080465288,-85.73131898344721
NZDUSD,A,100000000,1億円,1.9076310057044654,3.9332416101156933,16.400168310068327,3241265918.3673944,445,1.9528113345459,3.6168668652355946,10.242858054976658,325062308.54839987,445,406,91.23595505617978,0.045180328841434525,-89.97113113409307
NZDUSD,A,500000000,5億円,1.9076310057044659,3.933241610115694,16.40016831006835,16206329591.836958,445,1.9002457190973774,3.403055585368476,4.125457125200281,741115248.5453615,445,446,100.22471910112361,-0.0073852866070884815,-95.42700125685055
NZDUSD,A,1000000000,10億円,1.9076310057044659,3.933241610115694,16.40016831006835,32412659183.673916,445,1.8998854972625139,3.3907586687012583,2.2996115047340466,1241064466.9642906,445,447,100.4494382022472,-0.007745508441951987,-96.17105014453918
XAUUSD,A,1000000,100万円,3.0765645566020896,4.802431434675118,14.269182640829802,112115381.8910345,391,3.0638069297968524,4.79481057818592,14.269182640829802,110324596.56804614,391,4,1.0230179028132993,-0.012757626805237177,-1.5972699666927364
XAUUSD,A,10000000,"1,000万円",3.07656455660209,4.802431434675118,14.269182640829788,1121153818.9103477,391,3.295287802783638,4.788927347102477,13.286564664103109,699913046.6991519,391,78,19.948849104859335,0.21872324618154781,-37.572076650517126
XAUUSD,A,50000000,"5,000万円",3.07656455660209,4.8024314346751185,14.2691826408298,5605769094.551727,391,3.3261741996436873,4.72199766483268,11.085546882519985,1772076030.5345666,391,166,42.45524296675192,0.24960964304159727,-68.38835134581524
XAUUSD,A,100000000,1億円,3.07656455660209,4.8024314346751185,14.2691826408298,11211538189.103455,391,3.416525509990552,4.521125909856187,11.462831562767978,2377113738.3316975,391,220,56.26598465473146,0.339960953388462,-78.79761279641339
XAUUSD,A,500000000,5億円,3.0765645566020896,4.802431434675118,14.269182640829815,56057690945.51727,391,3.611260361472824,4.188179388600176,9.444476435468191,4364556646.307568,391,311,79.53964194373401,0.5346958048707342,-92.21416977279799
XAUUSD,A,1000000000,10億円,3.0765645566020896,4.802431434675118,14.269182640829815,112115381891.03455,391,3.5337928148225863,4.090874996156641,8.284211691092585,5258386677.824341,391,355,90.7928388746803,0.45722825822049673,-95.30984367253461
AUDUSD,B,1000000,100万円,2.4461852792048573,4.344454132534287,9.848200268313551,31050880.033418078,418,2.3621791907174523,5.2489453926778795,8.731570915344015,24605223.16949875,418,49,11.722488038277511,-0.08400608848740498,-20.758370960765944
AUDUSD,B,10000000,"1,000万円",2.4461852792048577,4.344454132534286,9.848200268313553,310508800.3341811,418,2.2782643429218052,4.709909584657086,9.293272004231602,110484804.48962648,418,179,42.822966507177036,-0.1679209362830525,-64.4181406869246
AUDUSD,B,50000000,"5,000万円",2.4461852792048577,4.344454132534285,9.848200268313539,1552544001.6709046,418,2.1472096432466916,4.38941347318394,8.288704447532917,245594452.52029914,418,282,67.46411483253588,-0.2989756359581661,-84.18115993775497
AUDUSD,B,100000000,1億円,2.4461852792048577,4.344454132534285,9.848200268313539,3105088003.3418093,418,1.9822364644701753,4.216139935338004,8.74563035712426,326615148.29722637,418,337,80.622009569378,-0.4639488147346824,-89.4812917396959
AUDUSD,B,500000000,5億円,2.4461852792048577,4.344454132534287,9.848200268313567,15525440016.70902,418,1.6675873442860942,2.8583936005889385,4.454670867997217,712849263.9800011,418,420,100.47846889952152,-0.7785979349187635,-95.40850846602217
AUDUSD,B,1000000000,10億円,2.4461852792048577,4.344454132534287,9.848200268313567,31050880033.41804,418,1.6531529605486228,2.714547023321469,2.5891677686554275,1210065391.964286,418,422,100.95693779904306,-0.7930323186562349,-96.10295943090189
