time,dir,ep,sl,tp,risk,tf,pattern,entry_time,half_closed,exit_time,exit_price,pnl,type
2024-09-02 14:30:00+00:00,-1,146.959,146.959,146.87393749999995,0.03402500000001396,15m,double_top,2024-09-02 14:30:00+00:00,True,2024-09-02 14:31:00+00:00,146.959,-0.0,SL
2024-09-02 16:00:00+00:00,-1,146.946,147.37663214285715,145.8694196428571,0.43063214285714935,4h,double_top,2024-09-02 16:00:00+00:00,False,2024-09-03 03:00:00+00:00,146.51536785714285,43.063214285714935,HALF_TP
2024-09-02 16:00:00+00:00,-1,146.946,146.946,145.8694196428571,0.43063214285714935,4h,double_top,2024-09-02 16:00:00+00:00,True,2024-09-03 08:00:00+00:00,145.8694196428571,107.65803571428876,TP
2024-09-03 10:15:00+00:00,-1,145.928,146.0068214285714,145.73094642857146,0.07882142857141616,15m,double_top,2024-09-03 10:15:00+00:00,False,2024-09-03 10:16:00+00:00,146.0068214285714,-7.882142857141616,SL
2024-09-03 11:15:00+00:00,-1,146.027,146.08485,145.88237499999997,0.057850000000001955,15m,double_top,2024-09-03 11:15:00+00:00,False,2024-09-03 11:16:00+00:00,145.96914999999998,5.7850000000001955,HALF_TP
2024-09-03 11:15:00+00:00,-1,146.027,146.027,145.88237499999997,0.057850000000001955,15m,double_top,2024-09-03 11:15:00+00:00,True,2024-09-03 11:16:00+00:00,146.027,-0.0,SL
2024-09-03 12:15:00+00:00,-1,146.165,146.2551357142857,145.9396607142857,0.09013571428570799,15m,double_top,2024-09-03 12:15:00+00:00,False,2024-09-03 12:16:00+00:00,146.07486428571428,9.013571428570799,HALF_TP
2024-09-03 12:15:00+00:00,-1,146.165,146.165,145.9396607142857,0.09013571428570799,15m,double_top,2024-09-03 12:15:00+00:00,True,2024-09-03 12:16:00+00:00,146.165,-0.0,SL
2024-09-03 13:00:00+00:00,-1,145.878,146.34228214285713,144.71729464285713,0.46428214285714375,1h,double_top,2024-09-03 13:00:00+00:00,False,2024-09-03 13:01:00+00:00,145.41371785714284,46.428214285714375,HALF_TP
2024-09-03 13:00:00+00:00,-1,145.878,145.878,144.71729464285713,0.46428214285714375,1h,double_top,2024-09-03 13:00:00+00:00,True,2024-09-03 13:01:00+00:00,145.878,-0.0,SL
2024-09-03 14:15:00+00:00,-1,145.404,145.69681785714286,144.67195535714285,0.29281785714286457,15m,double_top,2024-09-03 14:15:00+00:00,False,2024-09-03 15:00:00+00:00,145.69681785714286,-29.281785714286457,SL
2024-09-03 16:00:00+00:00,-1,145.81699999999998,146.39749285714285,144.3657678571428,0.5804928571428718,4h,double_top,2024-09-03 16:00:00+00:00,False,2024-09-03 23:00:00+00:00,145.2365071428571,58.04928571428718,HALF_TP
2024-09-03 16:00:00+00:00,-1,145.81699999999998,145.81699999999998,144.3657678571428,0.5804928571428718,4h,double_top,2024-09-03 16:00:00+00:00,True,2024-09-04 14:00:00+00:00,144.3657678571428,145.12321428571795,TP
2024-09-04 15:00:00+00:00,-1,144.11599999999999,144.27260714285714,143.72448214285708,0.1566071428571547,15m,double_top,2024-09-04 15:00:00+00:00,False,2024-09-04 15:01:00+00:00,144.27260714285714,-15.660714285715471,SL
2024-09-04 16:00:00+00:00,-1,144.30499999999998,145.36320714285714,141.6594821428571,1.0582071428571567,4h,double_top,2024-09-04 16:00:00+00:00,False,2024-09-04 23:00:00+00:00,143.24679285714282,105.82071428571567,HALF_TP
2024-09-04 16:00:00+00:00,-1,144.30499999999998,144.30499999999998,141.6594821428571,1.0582071428571567,4h,double_top,2024-09-04 16:00:00+00:00,True,2024-10-02 08:00:00+00:00,144.30499999999998,-0.0,SL
2024-10-02 09:30:00+00:00,-1,144.32,144.42672857142858,144.05317857142853,0.10672857142859016,15m,double_top,2024-10-02 09:30:00+00:00,False,2024-10-02 09:31:00+00:00,144.2132714285714,10.672857142859016,HALF_TP
2024-10-02 09:30:00+00:00,-1,144.32,144.32,144.05317857142853,0.10672857142859016,15m,double_top,2024-10-02 09:30:00+00:00,True,2024-10-02 09:31:00+00:00,144.32,-0.0,SL
2024-10-02 09:45:00+00:00,-1,144.32,144.38558214285715,144.15604464285713,0.0655821428571528,15m,double_top,2024-10-02 09:45:00+00:00,False,2024-10-02 09:46:00+00:00,144.25441785714284,6.55821428571528,HALF_TP
2024-10-02 09:45:00+00:00,-1,144.32,144.32,144.15604464285713,0.0655821428571528,15m,double_top,2024-10-02 09:45:00+00:00,True,2024-10-02 09:46:00+00:00,144.32,-0.0,SL
2024-10-02 10:00:00+00:00,-1,144.25699999999998,144.4556142857143,143.7604642857142,0.1986142857143136,1h,double_top,2024-10-02 10:00:00+00:00,False,2024-10-02 10:01:00+00:00,144.4556142857143,-19.86142857143136,SL
2024-10-02 11:15:00+00:00,-1,144.786,144.87636785714284,144.5600803571429,0.09036785714283724,15m,double_top,2024-10-02 11:15:00+00:00,False,2024-10-02 11:16:00+00:00,144.69563214285716,9.036785714283724,HALF_TP
2024-10-02 11:15:00+00:00,-1,144.786,144.786,144.5600803571429,0.09036785714283724,15m,double_top,2024-10-02 11:15:00+00:00,True,2024-10-02 11:16:00+00:00,144.786,-0.0,SL
2024-10-02 12:15:00+00:00,1,144.685,144.63055714285713,144.8211071428572,0.05444285714287389,15m,double_bottom,2024-10-02 12:15:00+00:00,False,2024-10-02 12:16:00+00:00,144.73944285714288,5.444285714287389,HALF_TP
2024-10-02 12:15:00+00:00,1,144.685,144.685,144.8211071428572,0.05444285714287389,15m,double_bottom,2024-10-02 12:15:00+00:00,True,2024-10-02 12:16:00+00:00,144.685,0.0,SL
2024-10-02 13:00:00+00:00,1,145.369,144.5589857142857,147.39403571428574,0.8100142857142885,1h,double_bottom,2024-10-02 13:00:00+00:00,False,2024-10-02 14:00:00+00:00,146.1790142857143,81.00142857142885,HALF_TP
2024-10-02 13:00:00+00:00,1,145.369,145.369,147.39403571428574,0.8100142857142885,1h,double_bottom,2024-10-02 13:00:00+00:00,True,2024-10-04 12:00:00+00:00,147.39403571428574,202.50357142857354,TP
2024-10-04 12:45:00+00:00,1,146.592,146.43383571428572,146.98741071428574,0.15816428571429242,15m,double_bottom,2024-10-04 12:45:00+00:00,False,2024-10-04 12:46:00+00:00,146.7501642857143,15.816428571429242,HALF_TP
2024-10-04 12:45:00+00:00,1,146.592,146.592,146.98741071428574,0.15816428571429242,15m,double_bottom,2024-10-04 12:45:00+00:00,True,2024-10-04 12:46:00+00:00,146.592,0.0,SL
2024-10-04 13:30:00+00:00,1,148.645,148.40970000000002,149.23325,0.23529999999999518,15m,double_bottom,2024-10-04 13:30:00+00:00,False,2024-10-04 13:31:00+00:00,148.40970000000002,-23.529999999999518,SL
2024-10-04 14:15:00+00:00,1,148.40200000000002,148.25784285714283,148.76239285714297,0.14415714285718195,15m,double_bottom,2024-10-04 14:15:00+00:00,False,2024-10-04 14:16:00+00:00,148.5461571428572,14.415714285718195,HALF_TP
2024-10-04 14:15:00+00:00,1,148.40200000000002,148.40200000000002,148.76239285714297,0.14415714285718195,15m,double_bottom,2024-10-04 14:15:00+00:00,True,2024-10-04 14:16:00+00:00,148.40200000000002,0.0,SL
2024-10-04 14:30:00+00:00,1,148.40200000000002,148.25654642857143,148.7656339285715,0.1454535714285896,15m,double_bottom,2024-10-04 14:30:00+00:00,False,2024-10-04 14:31:00+00:00,148.5474535714286,14.545357142858961,HALF_TP
2024-10-04 14:30:00+00:00,1,148.40200000000002,148.40200000000002,148.7656339285715,0.1454535714285896,15m,double_bottom,2024-10-04 14:30:00+00:00,True,2024-10-04 14:31:00+00:00,148.40200000000002,0.0,SL
2024-10-04 15:00:00+00:00,1,148.495,148.24967857142855,149.10830357142865,0.245321428571458,1h,double_bottom,2024-10-04 15:00:00+00:00,False,2024-10-04 15:01:00+00:00,148.74032142857146,24.5321428571458,HALF_TP
2024-10-04 15:00:00+00:00,1,148.495,148.495,149.10830357142865,0.245321428571458,1h,double_bottom,2024-10-04 15:00:00+00:00,True,2024-10-04 15:01:00+00:00,148.495,0.0,SL
2024-10-04 15:30:00+00:00,1,148.495,148.36194642857143,148.82763392857146,0.13305357142857588,15m,double_bottom,2024-10-04 15:30:00+00:00,False,2024-10-04 15:31:00+00:00,148.62805357142858,13.305357142857588,HALF_TP
2024-10-04 15:30:00+00:00,1,148.495,148.495,148.82763392857146,0.13305357142857588,15m,double_bottom,2024-10-04 15:30:00+00:00,True,2024-10-04 15:31:00+00:00,148.495,0.0,SL
2024-10-04 15:45:00+00:00,1,148.495,148.36168928571428,148.8282767857143,0.13331071428572727,15m,double_bottom,2024-10-04 15:45:00+00:00,False,2024-10-04 15:46:00+00:00,148.62831071428573,13.331071428572727,HALF_TP
2024-10-04 15:45:00+00:00,1,148.495,148.495,148.8282767857143,0.13331071428572727,15m,double_bottom,2024-10-04 15:45:00+00:00,True,2024-10-04 15:46:00+00:00,148.495,0.0,SL
2024-10-04 16:00:00+00:00,1,148.696,148.24803928571427,149.81590178571432,0.4479607142857276,1h,double_bottom,2024-10-04 16:00:00+00:00,False,2024-10-07 02:00:00+00:00,148.24803928571427,-44.79607142857276,SL
2024-10-07 04:45:00+00:00,1,148.407,148.31410357142857,148.63924107142861,0.09289642857143576,15m,double_bottom,2024-10-07 04:45:00+00:00,False,2024-10-07 04:46:00+00:00,148.49989642857145,9.289642857143576,HALF_TP
2024-10-07 04:45:00+00:00,1,148.407,148.407,148.63924107142861,0.09289642857143576,15m,double_bottom,2024-10-07 04:45:00+00:00,True,2024-10-07 04:46:00+00:00,148.407,0.0,SL
2024-10-07 05:00:00+00:00,1,148.541,148.29440714285715,149.1574821428571,0.2465928571428435,1h,double_bottom,2024-10-07 05:00:00+00:00,False,2024-10-07 07:00:00+00:00,148.29440714285715,-24.65928571428435,SL
2024-10-07 08:00:00+00:00,1,148.275,148.1248892857143,148.6502767857143,0.15011071428571654,15m,double_bottom,2024-10-07 08:00:00+00:00,False,2024-10-07 08:01:00+00:00,148.1248892857143,-15.011071428571654,SL
2024-10-07 10:00:00+00:00,1,148.347,148.17528214285713,148.7762946428572,0.17171785714288035,15m,double_bottom,2024-10-07 10:00:00+00:00,False,2024-10-07 10:01:00+00:00,148.5187178571429,17.171785714288035,HALF_TP
2024-10-07 10:00:00+00:00,1,148.347,148.347,148.7762946428572,0.17171785714288035,15m,double_bottom,2024-10-07 10:00:00+00:00,True,2024-10-07 10:01:00+00:00,148.347,0.0,SL
2024-10-07 11:00:00+00:00,1,148.63500000000002,148.1524607142857,149.84134821428583,0.48253928571432425,1h,double_bottom,2024-10-07 11:00:00+00:00,False,2024-11-03 22:00:00+00:00,149.11753928571434,48.253928571432425,HALF_TP
2024-10-07 11:00:00+00:00,1,148.63500000000002,148.63500000000002,149.84134821428583,0.48253928571432425,1h,double_bottom,2024-10-07 11:00:00+00:00,True,2024-11-03 22:00:00+00:00,149.84134821428583,120.63482142858106,TP
2024-11-03 23:00:00+00:00,1,152.407,152.37170714285716,152.49523214285713,0.03529285714284924,15m,double_bottom,2024-11-03 23:00:00+00:00,False,2024-11-03 23:01:00+00:00,152.44229285714286,3.5292857142849243,HALF_TP
2024-11-03 23:00:00+00:00,1,152.407,152.407,152.49523214285713,0.03529285714284924,15m,double_bottom,2024-11-03 23:00:00+00:00,True,2024-11-03 23:01:00+00:00,152.407,0.0,SL
2024-11-04 00:45:00+00:00,1,152.287,152.01528214285716,152.96629464285712,0.27171785714284624,15m,double_bottom,2024-11-04 00:45:00+00:00,False,2024-11-04 00:46:00+00:00,152.01528214285716,-27.171785714284624,SL
