time,dir,ep,sl,tp,risk,tf,entry_time,half_closed,exit_time,exit_price,pnl,type
2024-09-02 15:59:00+00:00,-1,146.956,146.956,145.90441964285708,0.42063214285715844,4h,2024-09-02 15:59:00+00:00,True,2024-09-03 07:00:00+00:00,145.90441964285708,105.15803571429103,TP
2024-09-03 12:59:00+00:00,-1,146.165,146.34228214285713,145.72179464285716,0.17728214285713761,1h,2024-09-03 12:59:00+00:00,False,2024-09-03 13:00:00+00:00,145.98771785714285,17.72821428571376,HALF_TP
2024-09-03 12:59:00+00:00,-1,146.165,146.165,145.72179464285716,0.17728214285713761,1h,2024-09-03 12:59:00+00:00,True,2024-09-03 13:00:00+00:00,145.72179464285716,44.32053571428298,TP
2024-09-03 15:59:00+00:00,-1,145.558,146.39749285714285,143.45926785714283,0.8394928571428579,4h,2024-09-03 15:59:00+00:00,False,2024-09-04 14:00:00+00:00,144.71850714285713,83.94928571428579,HALF_TP
2024-09-03 15:59:00+00:00,-1,145.558,145.558,143.45926785714283,0.8394928571428579,4h,2024-09-03 15:59:00+00:00,True,2024-09-04 23:00:00+00:00,143.45926785714283,209.8732142857159,TP
2024-09-04 23:59:00+00:00,-1,143.613,143.79536785714285,143.1570803571429,0.1823678571428502,1h,2024-09-04 23:59:00+00:00,False,2024-09-05 00:00:00+00:00,143.43063214285715,18.23678571428502,HALF_TP
2024-09-04 23:59:00+00:00,-1,143.613,143.613,143.1570803571429,0.1823678571428502,1h,2024-09-04 23:59:00+00:00,True,2024-09-05 00:00:00+00:00,143.613,-0.0,SL
2024-09-05 01:59:00+00:00,-1,143.718,143.88593214285714,143.2981696428571,0.16793214285715408,1h,2024-09-05 01:59:00+00:00,False,2024-09-05 02:00:00+00:00,143.88593214285714,-16.793214285715408,SL
2024-09-05 03:59:00+00:00,-1,143.82399999999998,143.94823571428572,143.51341071428567,0.12423571428573155,1h,2024-09-05 03:59:00+00:00,False,2024-09-05 04:00:00+00:00,143.69976428571425,12.423571428573155,HALF_TP
2024-09-05 03:59:00+00:00,-1,143.82399999999998,143.82399999999998,143.51341071428567,0.12423571428573155,1h,2024-09-05 03:59:00+00:00,True,2024-09-05 04:00:00+00:00,143.82399999999998,-0.0,SL
