entry_time,exit_time,dir,pnl,result,exit_type,month
2025-05-16 01:00:00+00:00,2025-05-16 02:40:00+00:00,-1,15.208928571431102,win,HALF+SL,2025-05
2025-05-16 04:00:00+00:00,2025-05-16 17:35:00+00:00,-1,-78.18428571428058,loss,SL,2025-05
2025-05-16 20:00:00+00:00,2025-05-18 22:12:00+00:00,-1,68.87125000000935,win,HALF+TP,2025-05
2025-05-19 02:00:00+00:00,2025-05-19 17:02:00+00:00,-1,35.01089285714443,win,HALF+SL,2025-05
2025-05-19 22:00:00+00:00,2025-05-20 02:41:00+00:00,-1,16.05750000000228,win,HALF+SL,2025-05
2025-05-20 09:00:00+00:00,2025-05-20 16:03:00+00:00,-1,-51.37017857142894,loss,SL,2025-05
2025-05-20 20:00:00+00:00,2025-05-21 01:12:00+00:00,-1,83.03375000000699,win,HALF+TP,2025-05
2025-05-21 03:00:00+00:00,2025-05-21 04:35:00+00:00,-1,20.553392857146946,win,HALF+SL,2025-05
2025-05-21 13:00:00+00:00,2025-05-21 20:27:00+00:00,-1,89.34249999999508,win,HALF+TP,2025-05
2025-05-21 21:00:00+00:00,2025-05-22 01:01:00+00:00,-1,-33.18374999999776,loss,SL,2025-05
2025-05-22 05:00:00+00:00,2025-05-22 11:45:00+00:00,-1,41.06196428571991,win,HALF+SL,2025-05
2025-05-22 15:00:00+00:00,2025-05-22 16:45:00+00:00,-1,-47.56160714285613,loss,SL,2025-05
2025-05-22 18:00:00+00:00,2025-05-22 18:08:00+00:00,-1,-25.888214285711797,loss,SL,2025-05
2025-05-22 22:00:00+00:00,2025-05-23 05:12:00+00:00,-1,79.12437500000635,win,HALF+TP,2025-05
2025-05-23 08:00:00+00:00,2025-05-27 09:55:00+00:00,-1,71.9573214285731,win,HALF+SL,2025-05
2025-05-27 20:00:00+00:00,2025-05-29 02:43:00+00:00,1,222.22375000001193,win,HALF+TP,2025-05
2025-05-29 04:00:00+00:00,2025-05-29 15:17:00+00:00,1,-144.82553571428696,loss,SL,2025-05
2025-05-29 16:00:00+00:00,2025-05-30 17:52:00+00:00,-1,72.90107142857494,win,HALF+SL,2025-05
2025-05-30 23:00:00+00:00,2025-05-30 23:51:00+00:00,-1,-17.60749999999973,loss,SL,2025-05
2025-06-01 23:00:00+00:00,2025-06-02 10:25:00+00:00,-1,118.55312500000252,win,HALF+TP,2025-06
2025-06-02 12:00:00+00:00,2025-06-03 17:00:00+00:00,-1,-79.54428571428878,loss,SL,2025-06
2025-06-03 22:00:00+00:00,2025-06-04 00:01:00+00:00,1,10.031964285715844,win,HALF+SL,2025-06
2025-06-04 04:00:00+00:00,2025-06-04 04:09:00+00:00,1,24.99071428571824,win,HALF+SL,2025-06
