label,n,winrate,pf,return_pct,return_abs,mdd_pct,kelly,monthly_plus,pair,mode,period,spread
SPX500_4H_OOS,175,18.857142857142858,0.973940804099676,-4.5436653065124295,-45436.653065124294,18.733790493254837,-0.6445680887513587,4/11,SPX500,4H,OOS,0.1
SPX500_Hybrid_IS,207,25.60386473429952,1.6506496356951483,268.2155334653641,2682155.334653641,20.168542266050647,-0.19466956872473246,2/2,SPX500,Hybrid,IS,0.1
SPX500_Hybrid_OOS,885,18.64406779661017,0.9280976901483186,-64.848239026075,-648482.3902607501,81.48683676184847,-0.6901473479171263,5/11,SPX500,Hybrid,OOS,0.1
NAS100_1H_IS,114,20.175438596491226,0.7540308359508928,-30.199219020902074,-301992.19020902074,41.32781182891968,-0.8568835051876911,0/2,NAS100,1H,IS,8.3
NAS100_1H_OOS,547,24.49725776965265,0.8923836647543112,-71.13740366437648,-711374.0366437647,86.386780600749,-0.6011068073528915,4/11,NAS100,1H,OOS,8.3
NAS100_4H_IS,4,25.0,1.0371603559856524,0.1561002479879302,1561.002479879302,4.159128643380672,-0.47312829512968313,1/1,NAS100,4H,IS,8.3
NAS100_4H_OOS,28,14.285714285714285,0.57793262323486,-14.50409452123402,-145040.94521234022,17.4893157565491,-1.3402618621666171,3/10,NAS100,4H,OOS,8.3
NAS100_Hybrid_IS,118,20.33898305084746,0.7604451947186136,-30.09025982869618,-300902.5982869618,43.76806361284127,-0.8441678041824697,0/2,NAS100,Hybrid,IS,8.3
NAS100_Hybrid_OOS,572,24.125874125874127,0.8886666178208823,-75.15466394917193,-751546.6394917193,88.4314331827086,-0.6125386710957182,4/11,NAS100,Hybrid,OOS,8.3
XAUUSD_1H_IS,74,37.83783783783784,2.9644700670256894,118.3824225365343,1183824.225365343,6.9276461854652265,0.1686877397256135,2/2,XAUUSD,1H,IS,5.2
XAUUSD_1H_OOS,555,32.25225225225225,2.0265759061016415,5266.41462266131,52664146.226613104,15.605101691892528,-0.011774098412187739,12/12,XAUUSD,1H,OOS,5.2
XAUUSD_4H_IS,11,18.181818181818183,5.530079746041618,13.004122750433908,130041.22750433907,2.525881594600319,0.03386700285598593,1/2,XAUUSD,4H,IS,5.2
XAUUSD_4H_OOS,67,25.37313432835821,1.2244517318716344,15.488342287069187,154883.42287069187,17.296053457325442,-0.3557403388510086,6/12,XAUUSD,4H,OOS,5.2
XAUUSD_Hybrid_IS,85,35.294117647058826,3.0741374342088372,146.78114082855666,1467811.4082855666,6.9276461854652,0.1424564999141742,2/2,XAUUSD,Hybrid,IS,5.2
XAUUSD_Hybrid_OOS,615,31.869918699186993,1.9171235006448133,6427.532151903725,64275321.51903725,16.5761179444562,-0.03667740339418424,12/12,XAUUSD,Hybrid,OOS,5.2
