pair,strategy,fold,oos_start,oos_end,n_is,pf_is,n_oos,pf_oos,wr_oos,mdd_oos,passed
AUDUSD,MTF_v3_H1,4,2024-11-15,2025-02-15,45,0.673,15,0.6974,26.67,1.21,False
AUDUSD,MTF_v3_H1,5,2025-02-15,2025-05-15,61,0.6807,12,1.4306,16.67,0.43,True
AUDUSD,MTF_v3_H1,6,2025-05-15,2025-08-15,73,0.7219,11,1.2266,27.27,0.77,True
AUDUSD,MTF_v3_H1,7,2025-08-15,2025-11-15,84,0.7679,13,1.8819,23.08,1.16,True
AUDUSD,MTF_v3_H1,8,2025-11-15,2026-02-15,97,0.9936,13,0.2173,15.38,1.88,False
AUDUSD,DC50_EMA200,0,2023-03-01,2023-09-01,7,0.916,2,0.0,0.0,0.01,False
AUDUSD,DC50_EMA200,1,2023-09-01,2024-03-01,10,0.9128,1,0.0,0.0,0.0,False
AUDUSD,DC50_EMA200,2,2024-03-01,2024-09-01,12,0.7992,2,0.0,0.0,1.32,False
AUDUSD,DC50_EMA200,3,2024-09-01,2025-03-01,16,0.6368,1,0.0,0.0,0.01,False
AUDUSD,DC50_EMA200,4,2025-03-01,2025-09-01,19,1.1088,0,0.0,0.0,0.0,False
AUDUSD,DC50_EMA200,5,2025-09-01,2026-02-27,21,1.048,2,0.0,0.0,1.82,False
GBPJPY,DC50_EMA200,0,2023-03-01,2023-09-01,6,0.0,2,3.9715,50.0,0.89,False
GBPJPY,DC50_EMA200,1,2023-09-01,2024-03-01,8,0.9638,1,0.0,0.0,1.32,False
GBPJPY,DC50_EMA200,2,2024-03-01,2024-09-01,9,0.8405,2,1.2947,50.0,1.0,False
GBPJPY,DC50_EMA200,3,2024-09-01,2025-03-01,13,0.7922,0,0.0,0.0,0.0,False
GBPJPY,DC50_EMA200,4,2025-03-01,2025-09-01,13,0.7922,2,0.0,0.0,1.56,False
GBPJPY,DC50_EMA200,5,2025-09-01,2026-02-27,17,0.5945,1,0.0,0.0,0.79,False
