entry_time,exit_time,result,pnl,equity,tf,dir,pair
2026-01-30 05:00:00+00:00,2026-01-30 07:55:00+00:00,SL,-20539.573654203872,5621477.5243245745,1h,-1,GBPUSD
2026-01-30 11:00:00+00:00,2026-01-30 13:30:00+00:00,SL,9971.537838722385,7079527.347378994,1h,-1,USDCHF
2026-01-30 13:00:00+00:00,2026-02-02 21:45:00+00:00,TP,35409.11020782697,4685571.769595363,1h,-1,EURGBP
2026-01-30 15:00:00+00:00,2026-02-01 23:06:00+00:00,TP,35675.52997379159,4611842.849086007,1h,-1,EURUSD
2026-01-30 15:00:00+00:00,2026-01-30 15:45:00+00:00,SL,9705.189240617912,4695276.958835981,1h,-1,EURGBP
2026-02-02 05:00:00+00:00,2026-02-02 07:28:00+00:00,SL,10000.0,4621842.849086007,1h,-1,EURUSD
2026-02-02 06:00:00+00:00,2026-02-03 03:30:00+00:00,SL,-20671.878699203546,4987839.170491356,4h,-1,AUDUSD
2026-02-02 06:00:00+00:00,2026-02-02 13:15:00+00:00,TP,35603.65032326698,7115130.997702261,4h,1,USDCHF
2026-02-02 06:00:00+00:00,2026-02-02 10:14:00+00:00,SL,-20597.397791853302,5600880.126532721,4h,-1,GBPUSD
2026-02-02 06:00:00+00:00,2026-02-06 00:14:00+00:00,TP,36049.58033374249,4657892.429419749,4h,-1,EURUSD
2026-02-02 08:00:00+00:00,2026-02-02 17:45:00+00:00,TP,35279.37056923117,4730556.329405212,4h,-1,EURGBP
2026-02-02 08:00:00+00:00,2026-02-02 12:45:00+00:00,TP,35557.16787063542,7150688.165572897,1h,1,USDCHF
2026-02-02 09:00:00+00:00,2026-02-02 15:00:00+00:00,TP,35667.442788413115,7186355.608361309,1h,1,USDCHF
2026-02-02 10:00:00+00:00,2026-02-03 16:00:00+00:00,SL,9989.814941117616,7196345.423302427,4h,1,USDCHF
2026-02-02 11:00:00+00:00,2026-02-02 14:33:00+00:00,SL,9972.022636862252,4997811.193128219,1h,-1,AUDUSD
2026-02-02 11:00:00+00:00,2026-02-02 15:00:00+00:00,TP,35652.824548696015,7231998.247851123,1h,1,USDCHF
2026-02-02 11:00:00+00:00,2026-02-02 13:25:00+00:00,TP,35578.38992916495,5636458.516461886,1h,-1,GBPUSD
2026-02-02 12:00:00+00:00,2026-02-02 14:33:00+00:00,SL,9976.146416708398,5007787.339544928,1h,-1,AUDUSD
2026-02-02 12:00:00+00:00,2026-02-02 13:35:00+00:00,TP,35602.8204890769,5672061.336950963,1h,-1,GBPUSD
2026-02-02 13:00:00+00:00,2026-02-02 17:30:00+00:00,TP,34921.25883556566,4765477.588240777,1h,-1,EURGBP
2026-02-02 13:00:00+00:00,2026-02-02 18:19:00+00:00,TP,35797.44882725674,4693689.878247006,1h,-1,EURUSD
2026-02-02 13:00:00+00:00,2026-02-02 15:15:00+00:00,TP,35663.374701085835,7267661.622552209,1h,1,USDCHF
2026-02-02 13:00:00+00:00,2026-02-02 16:02:00+00:00,TP,35707.74543188787,5707769.082382851,1h,-1,GBPUSD
2026-02-02 14:00:00+00:00,2026-02-04 08:08:00+00:00,SL,-20769.91227747093,5686999.17010538,4h,-1,GBPUSD
2026-02-02 14:00:00+00:00,2026-02-09 12:45:00+00:00,SL,-20792.024682347477,4672897.853564658,4h,-1,EURUSD
2026-02-02 14:00:00+00:00,2026-02-03 01:56:00+00:00,SL,-20698.566262343324,4987088.773282585,4h,-1,AUDUSD
2026-02-02 15:00:00+00:00,2026-02-04 18:00:00+00:00,SL,9891.435728461995,4775369.02396924,1h,-1,EURGBP
2026-02-03 05:00:00+00:00,2026-02-03 07:15:00+00:00,SL,-22219.060560530746,4753149.963408709,1h,-1,EURGBP
2026-02-03 06:00:00+00:00,2026-02-03 07:37:00+00:00,SL,-20624.423580930896,4652273.429983728,4h,-1,EURUSD
2026-02-03 08:00:00+00:00,2026-02-03 11:30:00+00:00,SL,-21482.846871138845,4731667.11653757,4h,-1,EURGBP
2026-02-03 10:00:00+00:00,2026-02-04 01:48:00+00:00,SL,-20675.380685399592,4631598.049298328,4h,-1,EURUSD
2026-02-03 10:00:00+00:00,2026-02-04 04:50:00+00:00,SL,-20781.208068208296,5666217.962037172,4h,-1,GBPUSD
2026-02-03 13:00:00+00:00,2026-02-03 14:09:00+00:00,SL,-20830.90035432839,4966257.872928256,1h,1,AUDUSD
2026-02-03 15:00:00+00:00,2026-02-03 16:30:00+00:00,SL,9581.876828123837,4741248.993365694,1h,-1,EURGBP
2026-02-04 05:00:00+00:00,2026-02-04 07:30:00+00:00,SL,9438.726859419407,4750687.720225113,1h,-1,EURGBP
2026-02-04 06:00:00+00:00,2026-02-04 08:00:00+00:00,TP,34124.58110494946,4784812.301330063,1h,-1,EURGBP
2026-02-04 06:00:00+00:00,2026-02-04 09:00:00+00:00,SL,9940.89253894295,7277602.515091152,1h,1,USDCHF
2026-02-04 06:00:00+00:00,2026-02-04 15:02:00+00:00,SL,-20856.899585488532,5645361.062451684,4h,1,GBPUSD
2026-02-04 06:00:00+00:00,2026-02-04 07:23:00+00:00,SL,10000.0,4641598.049298328,1h,-1,EURUSD
2026-02-04 07:00:00+00:00,2026-02-04 15:32:00+00:00,TP,35988.952658992144,4677587.001957321,1h,-1,EURUSD
2026-02-04 07:00:00+00:00,2026-02-04 08:00:00+00:00,TP,33992.43659039895,4818804.737920461,1h,-1,EURGBP
2026-02-04 08:00:00+00:00,2026-02-04 12:15:00+00:00,SL,9968.650937760542,7287571.166028912,1h,1,USDCHF
2026-02-04 08:00:00+00:00,2026-02-04 14:00:00+00:00,SL,9759.245632730055,4828563.983553192,4h,-1,EURGBP
2026-02-04 10:00:00+00:00,2026-02-05 13:54:00+00:00,SL,10000.0,4687587.001957321,4h,-1,EURUSD
2026-02-04 10:00:00+00:00,2026-02-05 12:45:00+00:00,SL,9980.470112296834,7297551.636141209,4h,1,USDCHF
2026-02-04 11:00:00+00:00,2026-02-04 14:00:00+00:00,SL,-21471.87903694286,4807092.104516249,1h,-1,EURGBP
2026-02-04 12:00:00+00:00,2026-02-04 14:45:00+00:00,SL,-21276.53554534294,4785815.568970907,4h,-1,EURGBP
2026-02-04 14:00:00+00:00,2026-02-04 15:00:00+00:00,SL,9952.547704592871,7307504.183845802,1h,1,USDCHF
2026-02-04 14:00:00+00:00,2026-02-04 15:31:00+00:00,TP,35894.78325331268,5681255.845704997,1h,-1,GBPUSD
2026-02-04 15:00:00+00:00,2026-02-04 17:21:00+00:00,SL,10000.0,4697587.001957321,1h,-1,EURUSD
2026-02-04 15:00:00+00:00,2026-02-05 15:27:00+00:00,TP,35950.83196949711,5002208.704897753,1h,-1,AUDUSD
2026-02-04 15:00:00+00:00,2026-02-04 17:00:00+00:00,SL,9971.644606911246,7317475.828452714,1h,1,USDCHF
2026-02-05 06:00:00+00:00,2026-02-05 13:38:00+00:00,SL,-20854.59310619381,4676732.408851127,4h,-1,EURUSD
2026-02-05 06:00:00+00:00,2026-02-05 08:45:00+00:00,TP,35230.89525326119,4821046.464224168,1h,1,EURGBP
2026-02-05 06:00:00+00:00,2026-02-05 12:30:00+00:00,SL,-20972.08192499032,7296503.746527723,4h,1,USDCHF
2026-02-05 06:00:00+00:00,2026-02-06 09:30:00+00:00,SL,9990.15445203371,5012198.859349786,4h,-1,AUDUSD
2026-02-05 06:00:00+00:00,2026-02-05 07:00:00+00:00,SL,9963.177161261576,5691219.022866258,1h,-1,GBPUSD
2026-02-05 09:00:00+00:00,2026-02-05 11:17:00+00:00,SL,9987.245026456585,5701206.267892715,1h,-1,GBPUSD
2026-02-05 11:00:00+00:00,2026-02-05 13:30:00+00:00,TP,35920.011592064904,7332423.758119788,1h,-1,USDCHF
2026-02-05 13:00:00+00:00,2026-02-06 07:15:00+00:00,SL,9944.080842149227,4830990.545066318,1h,1,EURGBP
2026-02-05 13:00:00+00:00,2026-02-05 20:45:00+00:00,SL,-20909.241642021654,7311514.516477766,1h,-1,USDCHF
2026-02-05 15:00:00+00:00,2026-02-06 14:31:00+00:00,SL,-20883.50006445415,5680322.767828261,1h,-1,GBPUSD
2026-02-05 15:00:00+00:00,2026-02-09 06:00:00+00:00,SL,-20886.25697783171,7290628.2594999345,1h,1,USDCHF
2026-02-06 08:00:00+00:00,2026-02-06 14:30:00+00:00,SL,-20987.0299275363,7269641.229572399,1h,1,USDCHF
