entry_time,direction,entry_price,sl,status,exit_time,exit_price,pnl
2026-01-13 13:33:00,LONG,1.59742,1.56581,CLOSED,2026-01-13 17:33:00,1.5909,-65.20000000000081
2026-01-13 14:04:00,LONG,1.59849,1.56812,CLOSED,2026-01-13 18:04:00,1.59005,-84.40000000000003
2026-01-13 14:57:00,LONG,1.59913,1.56886,CLOSED,2026-01-13 18:57:00,1.59028,-88.50000000000024
2026-01-13 15:18:00,LONG,1.5999,1.5693,CLOSED,2026-01-13 19:18:00,1.59085,-90.50000000000003
2026-01-13 16:35:00,LONG,1.60116,1.57096,CLOSED,2026-01-13 20:35:00,1.59151,-96.49999999999936
2026-01-13 17:22:00,LONG,1.60084,1.5707,CLOSED,2026-01-13 21:22:00,1.5914,-94.40000000000114
2026-01-13 18:50:00,LONG,1.60042,1.57025,CLOSED,2026-01-13 22:50:00,1.59137,-90.50000000000003
2026-01-13 19:52:00,LONG,1.60114,1.57107,CLOSED,2026-01-13 23:52:00,1.59185,-92.9000000000002
2026-01-13 20:33:00,LONG,1.60121,1.57107,CLOSED,2026-01-14 00:33:00,1.59123,-99.800000000001
2026-01-13 21:19:00,LONG,1.60138,1.5712599999999999,CLOSED,2026-01-14 01:19:00,1.59418,-72.00000000000095
2026-01-13 23:51:00,LONG,1.60164,1.57149,CLOSED,2026-01-14 03:51:00,1.5913,-103.40000000000016
2026-01-14 00:52:00,LONG,1.60162,1.57129,CLOSED,2026-01-14 04:52:00,1.5921,-95.19999999999973
2026-01-14 01:47:00,LONG,1.60351,1.57285,CLOSED,2026-01-14 05:47:00,1.59325,-102.59999999999935
2026-01-14 02:04:00,LONG,1.60311,1.5729,CLOSED,2026-01-14 06:04:00,1.59302,-100.89999999999932
2026-01-14 02:32:00,LONG,1.60232,1.57212,CLOSED,2026-01-14 06:32:00,1.59315,-91.69999999999901
2026-01-14 03:03:00,LONG,1.6013600000000001,1.5709,CLOSED,2026-01-14 07:03:00,1.59142,-99.4000000000006
2026-01-14 04:01:00,LONG,1.60147,1.5712599999999999,CLOSED,2026-01-14 08:01:00,1.59177,-97.00000000000043
2026-01-14 04:34:00,LONG,1.60206,1.57179,CLOSED,2026-01-14 08:34:00,1.58949,-125.6999999999997
2026-01-14 04:52:00,LONG,1.6021,1.57191,CLOSED,2026-01-14 08:52:00,1.58961,-124.90000000000111
2026-01-14 05:08:00,LONG,1.60186,1.57163,CLOSED,2026-01-14 09:08:00,1.58877,-130.90000000000046
2026-01-14 05:49:00,LONG,1.60317,1.57296,CLOSED,2026-01-14 09:49:00,1.58817,-149.99999999999903
2026-01-14 07:02:00,LONG,1.60141,1.57112,CLOSED,2026-01-14 11:02:00,1.58687,-145.39999999999998
2026-01-14 07:18:00,LONG,1.60148,1.57112,CLOSED,2026-01-14 11:18:00,1.58751,-139.7000000000004
2026-01-14 07:51:00,LONG,1.60135,1.57105,CLOSED,2026-01-14 11:51:00,1.58781,-135.40000000000109
2026-01-14 08:06:00,LONG,1.60115,1.57013,CLOSED,2026-01-14 12:06:00,1.58566,-154.90000000000003
2026-01-14 08:32:00,LONG,1.60046,1.56864,CLOSED,2026-01-14 12:32:00,1.58585,-146.1000000000001
2026-01-14 09:17:00,LONG,1.59818,1.5667,CLOSED,2026-01-14 13:17:00,1.58599,-121.89999999999924
2026-01-14 10:02:00,LONG,1.59746,1.56689,CLOSED,2026-01-14 14:02:00,1.58648,-109.80000000000211
2026-01-14 11:17:00,LONG,1.59756,1.56733,CLOSED,2026-01-14 15:17:00,1.58356,-140.0000000000001
2026-01-14 11:47:00,LONG,1.59788,1.56568,CLOSED,2026-01-14 15:47:00,1.5819,-159.79999999999882
2026-01-15 00:19:00,LONG,1.59478,1.56441,CLOSED,2026-01-15 04:19:00,1.5854,-93.80000000000166
2026-01-15 00:36:00,LONG,1.5952,1.56491,CLOSED,2026-01-15 04:36:00,1.58625,-89.50000000000014
2026-01-15 02:47:00,LONG,1.59477,1.56467,CLOSED,2026-01-15 06:47:00,1.58637,-83.99999999999963
2026-01-15 04:01:00,LONG,1.59507,1.56478,CLOSED,2026-01-15 08:01:00,1.58597,-90.99999999999886
2026-01-15 04:40:00,LONG,1.59567,1.56544,CLOSED,2026-01-15 08:40:00,1.58625,-94.19999999999985
