entry_time,exit_time,dir,ep,sl,tp,pnl,result,exit_type,tf,pattern,month,period
2024-10-15 00:00:00+00:00,2024-10-15 02:23:00+00:00,1,149.891,149.6889,150.38225000000003,-20.21000000000015,loss,SL,1h,double_bottom,2024-10,IS
2024-10-15 08:00:00+00:00,2024-10-15 09:20:00+00:00,-1,149.6725,149.6765,149.41579017857146,35.69937499999867,win,HALF+TP,1h,double_top,2024-10,IS
2024-10-15 12:00:00+00:00,2024-10-17 11:40:00+00:00,-1,149.1485,149.8124607142857,147.5025982142858,-66.3960714285679,loss,SL,4h,double_top,2024-10,IS
2024-10-17 16:00:00+00:00,2024-10-18 08:02:00+00:00,1,149.838,149.834,150.83443749999998,39.21750000000088,win,HALF+SL,1h,double_bottom,2024-10,IS
2024-10-18 10:00:00+00:00,2024-10-18 13:10:00+00:00,1,149.963,149.74689821428572,150.4892544642857,-21.61017857142724,loss,SL,1h,double_bottom,2024-10,IS
2024-10-18 16:00:00+00:00,2024-10-21 11:07:00+00:00,-1,149.86100000000002,149.865,148.98241071428572,34.503571428572855,win,HALF+SL,4h,double_top,2024-10,IS
2024-10-21 12:00:00+00:00,2024-10-23 08:07:00+00:00,1,149.9535,149.9495,152.26745535714292,323.71375000001024,win,HALF+TP,4h,double_bottom,2024-10,IS
2024-10-23 12:00:00+00:00,2024-10-23 13:51:00+00:00,1,152.419,152.41500000000002,152.85573660714292,60.90312500000721,win,HALF+TP,1h,double_bottom,2024-10,IS
2024-10-23 20:00:00+00:00,2024-10-23 21:00:00+00:00,1,152.8635,152.72201071428572,153.20322321428569,-14.148928571427177,loss,SL,1h,double_bottom,2024-10,IS
2024-10-24 00:00:00+00:00,2024-10-24 03:39:00+00:00,1,152.76500000000001,152.51970892857142,153.36422767857152,-24.52910714285963,loss,SL,1h,double_bottom,2024-10,IS
2024-10-24 11:00:00+00:00,2024-10-24 11:32:00+00:00,1,152.1355,151.99419821428572,152.47475446428575,-14.130178571429042,loss,SL,1h,double_bottom,2024-10,IS
2024-10-24 15:00:00+00:00,2024-10-24 19:11:00+00:00,1,152.0545,151.72414107142856,152.8663973214286,-33.03589285714281,loss,SL,1h,double_bottom,2024-10,IS
2024-10-24 22:00:00+00:00,2024-10-25 08:14:00+00:00,1,151.82699999999997,151.51086785714287,152.60333035714274,-31.61321428571,loss,SL,1h,double_bottom,2024-10,IS
2024-10-25 13:00:00+00:00,2024-10-25 13:53:00+00:00,1,152.00699999999998,151.8806982142857,152.3087544642857,-12.630178571427564,loss,SL,1h,double_bottom,2024-10,IS
2024-10-25 17:00:00+00:00,2024-10-28 00:00:00+00:00,1,152.01749999999998,152.0135,152.641125,87.06750000000056,win,HALF+TP,1h,double_bottom,2024-10,IS
2024-10-28 02:00:00+00:00,2024-10-28 04:37:00+00:00,1,152.95749999999998,152.9535,153.7664955357141,113.01937499997905,win,HALF+TP,1h,double_bottom,2024-10,IS
2024-10-28 07:00:00+00:00,2024-10-28 07:09:00+00:00,1,153.6375,153.44350714285716,154.1084821428571,-19.39928571428311,loss,SL,1h,double_bottom,2024-10,IS
2024-10-28 15:00:00+00:00,2024-10-28 15:20:00+00:00,1,152.737,152.4100125,153.54046875000003,-32.69875000000013,loss,SL,1h,double_bottom,2024-10,IS
2024-10-28 21:00:00+00:00,2024-10-29 03:00:00+00:00,1,153.2825,153.09154107142857,153.74589732142863,-19.095892857143326,loss,SL,1h,double_bottom,2024-10,IS
2024-10-29 06:00:00+00:00,2024-10-29 08:21:00+00:00,1,152.99949999999998,152.82129642857146,153.43100892857132,-17.820357142852572,loss,SL,1h,double_bottom,2024-10,IS
2024-10-29 12:00:00+00:00,2024-10-31 09:43:00+00:00,1,153.398,152.67359464285713,155.19501339285722,-72.44053571428708,loss,SL,4h,double_bottom,2024-10,IS
2024-10-31 14:00:00+00:00,2024-10-31 14:01:00+00:00,-1,152.46150000000003,152.62906964285713,152.05657589285724,-16.756964285710296,loss,SL,1h,double_top,2024-10,IS
2024-10-31 18:00:00+00:00,2024-11-01 08:22:00+00:00,-1,152.583,152.587,151.25248214285705,52.580714285718955,win,HALF+SL,1h,double_top,2024-10,IS
2024-11-01 14:00:00+00:00,2024-11-01 15:30:00+00:00,-1,152.6665,152.6705,152.13736160714285,20.525535714287457,win,HALF+SL,1h,double_top,2024-11,IS
2024-11-01 20:00:00+00:00,2024-11-04 05:04:00+00:00,1,152.89849999999998,151.69476964285712,155.89382589285717,-120.37303571428595,loss,SL,4h,double_bottom,2024-11,IS
2024-11-04 11:00:00+00:00,2024-11-04 17:46:00+00:00,-1,152.085,152.089,151.51512946428568,22.154821428574678,win,HALF+SL,1h,double_top,2024-11,IS
2024-11-04 20:00:00+00:00,2024-11-05 01:29:00+00:00,-1,152.00650000000002,152.20084642857142,151.53463392857145,-19.434642857140716,loss,SL,1h,double_top,2024-11,IS
2024-11-05 04:00:00+00:00,2024-11-05 16:18:00+00:00,1,152.27849999999998,151.8998357142857,153.2111607142857,-37.866428571427946,loss,SL,4h,double_bottom,2024-11,IS
2024-11-05 20:00:00+00:00,2024-11-06 02:31:00+00:00,-1,151.6795,152.41449642857143,149.85600892857138,-73.4996428571435,loss,SL,4h,double_top,2024-11,IS
2024-11-06 04:00:00+00:00,2024-11-07 17:30:00+00:00,1,152.9355,152.9315,157.29657142857144,173.80285714286003,win,HALF+SL,4h,double_bottom,2024-11,IS
2024-11-07 20:00:00+00:00,2024-11-07 21:01:00+00:00,-1,153.014,153.27563035714286,152.37392410714284,-26.163035714284888,loss,SL,1h,double_top,2024-11,IS
2024-11-08 00:00:00+00:00,2024-11-11 01:15:00+00:00,-1,152.9325,152.9365,151.09749107142852,72.76035714286024,win,HALF+SL,4h,double_top,2024-11,IS
2024-11-11 02:00:00+00:00,2024-11-11 06:43:00+00:00,1,152.9145,152.9105,153.60715625000006,96.73187500000893,win,HALF+TP,1h,double_bottom,2024-11,IS
2024-11-11 13:00:00+00:00,2024-11-11 16:01:00+00:00,1,153.6965,153.6925,154.1183035714286,16.23214285714596,win,HALF+SL,1h,double_bottom,2024-11,IS
2024-11-11 20:00:00+00:00,2024-11-12 01:58:00+00:00,1,153.88199999999998,153.4751375,154.88515624999997,-40.686249999998836,loss,SL,4h,double_bottom,2024-11,IS
2024-11-12 03:00:00+00:00,2024-11-12 07:02:00+00:00,1,153.771,153.44783928571428,154.56490178571428,-32.31607142857058,loss,SL,1h,double_bottom,2024-11,IS
2024-11-12 11:00:00+00:00,2024-11-12 18:32:00+00:00,1,153.943,153.93900000000002,154.6073125000001,92.76375000001167,win,HALF+TP,1h,double_bottom,2024-11,IS
2024-11-12 22:00:00+00:00,2024-11-12 22:47:00+00:00,1,154.7535,154.63820714285714,155.0277321428572,-11.529285714286175,loss,SL,1h,double_bottom,2024-11,IS
