label,n,winrate,pf,return_pct,return_abs,mdd_pct,kelly,monthly_plus,pair,mode,period,spread
EURGBP_1H_IS,357,17.92717086834734,0.8993800797792315,-52.99999999999974,-529999.9999999973,68.01470588235283,-0.7332771788991698,1/8,EURGBP,1H,IS,0.5
EURGBP_1H_OOS,579,18.307426597582037,0.9217083621252787,12.999999999999698,129999.99999999697,40.37267080745365,-0.703242672866428,6/12,EURGBP,1H,OOS,0.5
EURGBP_4H_IS,114,24.561403508771928,1.2281103429187044,5.000000000000093,50000.00000000093,30.188679245282984,-0.36865158791763786,3/8,EURGBP,4H,IS,0.5
EURGBP_4H_OOS,174,14.367816091954023,0.6658301556494415,-45.499999999999815,-454999.99999999814,52.4017467248907,-1.1424183485502288,3/12,EURGBP,4H,OOS,0.5
EURGBP_Hybrid_IS,463,19.222462203023756,0.995717807111719,-55.49999999999968,-554999.9999999969,68.33976833976818,-0.6190246819396074,3/8,EURGBP,Hybrid,IS,0.5
EURGBP_Hybrid_OOS,737,17.367706919945725,0.8347605280136354,-32.00000000000015,-320000.0000000015,63.24786324786334,-0.8162151251126403,6/12,EURGBP,Hybrid,OOS,0.5
US30_1H_IS,380,22.105263157894736,1.1151531025496841,107.0000000000001,1070000.000000001,18.66404715127698,-0.4774589599146948,7/8,US30,1H,IS,3.0
US30_1H_OOS,476,20.3781512605042,1.1263291149939783,94.50000000000071,945000.0000000072,21.348314606741518,-0.503133079937667,8/11,US30,1H,OOS,3.0
US30_4H_IS,103,24.271844660194176,1.9457084748620894,40.49999999999995,404999.99999999953,18.313953488372096,-0.14648762572692237,5/8,US30,4H,IS,3.0
US30_4H_OOS,90,14.444444444444443,0.6060067154181333,-6.499999999999977,-64999.99999999977,21.212121212121225,-1.2673477581638026,4/11,US30,4H,OOS,3.0
US30_Hybrid_IS,468,22.64957264957265,1.4194364356563889,148.99999999999983,1489999.9999999981,22.30889235569423,-0.31844186568788024,7/8,US30,Hybrid,IS,3.0
US30_Hybrid_OOS,557,19.569120287253142,0.9626667298727712,82.50000000000077,825000.0000000077,25.4587155963302,-0.6398095703117339,8/11,US30,Hybrid,OOS,3.0
SPX500_1H_IS,348,21.551724137931032,1.2928127641610514,94.5000000000001,945000.0000000009,14.82649842271297,-0.39128583201838024,6/8,SPX500,1H,IS,0.5
SPX500_1H_OOS,445,20.674157303370784,1.0750335263897086,158.9999999999995,1589999.9999999949,14.66992665036675,-0.5311502298668924,10/12,SPX500,1H,OOS,0.5
SPX500_4H_IS,121,11.570247933884298,0.6147591905574521,-43.999999999999915,-439999.9999999992,52.29357798165131,-1.3227429058522147,3/8,SPX500,4H,IS,0.5
SPX500_4H_OOS,100,18.0,0.5888574988958969,-1.9999999999999303,-19999.9999999993,12.888888888888827,-1.2125270571190714,7/12,SPX500,4H,OOS,0.5
SPX500_Hybrid_IS,458,18.995633187772924,1.0029284455185408,53.500000000000135,535000.0000000014,23.31606217616578,-0.6177220939779224,7/8,SPX500,Hybrid,IS,0.5
SPX500_Hybrid_OOS,537,20.11173184357542,0.8897789854508877,152.99999999999955,1529999.9999999953,14.845938375350126,-0.6967266345313065,10/12,SPX500,Hybrid,OOS,0.5
