entry_time,exit_time,dir,pnl,result,exit_type,month
2025-03-28 20:00:00+00:00,2025-03-31 02:00:00+00:00,-1,97.94562500000836,win,HALF+TP,2025-03
2025-03-31 04:00:00+00:00,2025-03-31 13:15:00+00:00,-1,37.83267857142789,win,HALF+SL,2025-03
2025-03-31 18:00:00+00:00,2025-03-31 18:45:00+00:00,-1,-42.64303571428627,loss,SL,2025-03
2025-03-31 20:00:00+00:00,2025-03-31 20:15:00+00:00,-1,-14.197321428571286,loss,SL,2025-03
2025-04-01 01:00:00+00:00,2025-04-01 02:15:00+00:00,-1,-15.541249999995443,loss,SL,2025-04
2025-04-01 04:00:00+00:00,2025-04-01 19:15:00+00:00,-1,61.16982142857523,win,HALF+SL,2025-04
2025-04-02 01:00:00+00:00,2025-04-02 10:00:00+00:00,1,15.105178571431566,win,HALF+SL,2025-04
2025-04-02 12:00:00+00:00,2025-04-02 17:00:00+00:00,-1,41.7326785714323,win,HALF+SL,2025-04
2025-04-02 21:00:00+00:00,2025-04-02 23:00:00+00:00,-1,14.690535714285602,win,HALF+SL,2025-04
2025-04-03 07:00:00+00:00,2025-04-03 16:15:00+00:00,-1,241.76249999999015,win,HALF+TP,2025-04
2025-04-03 18:00:00+00:00,2025-04-03 18:30:00+00:00,-1,-74.69821428571493,loss,SL,2025-04
2025-04-03 21:00:00+00:00,2025-04-03 22:00:00+00:00,-1,-43.03232142857212,loss,SL,2025-04
2025-04-03 23:00:00+00:00,2025-04-04 02:45:00+00:00,-1,34.15910714285815,win,HALF+SL,2025-04
2025-04-04 04:00:00+00:00,2025-04-04 18:00:00+00:00,-1,68.24000000000012,win,HALF+SL,2025-04
2025-04-04 22:00:00+00:00,2025-04-07 01:00:00+00:00,-1,224.14187500000082,win,HALF+TP,2025-04
2025-04-07 02:00:00+00:00,2025-04-07 03:45:00+00:00,-1,-64.12357142856706,loss,SL,2025-04
2025-04-07 08:00:00+00:00,2025-04-07 15:15:00+00:00,-1,-85.65535714286057,loss,SL,2025-04
2025-04-07 17:00:00+00:00,2025-04-07 17:15:00+00:00,1,76.69178571428859,win,HALF+SL,2025-04
2025-04-07 21:00:00+00:00,2025-04-07 22:00:00+00:00,1,-35.15035714285375,loss,SL,2025-04
2025-04-08 02:00:00+00:00,2025-04-08 03:00:00+00:00,1,-24.96964285714114,loss,SL,2025-04
2025-04-08 07:00:00+00:00,2025-04-08 10:00:00+00:00,1,-40.72232142856649,loss,SL,2025-04
2025-04-08 12:00:00+00:00,2025-04-08 17:00:00+00:00,-1,54.481964285716344,win,HALF+SL,2025-04
2025-04-08 20:00:00+00:00,2025-04-09 20:15:00+00:00,-1,129.75125000000105,win,HALF+SL,2025-04
2025-04-09 23:00:00+00:00,2025-04-10 03:15:00+00:00,1,-98.64089285714499,loss,SL,2025-04
2025-04-10 05:00:00+00:00,2025-04-10 07:15:00+00:00,1,-40.07910714285572,loss,SL,2025-04
2025-04-10 08:00:00+00:00,2025-04-10 09:45:00+00:00,-1,-37.38999999999919,loss,SL,2025-04
2025-04-10 11:00:00+00:00,2025-04-11 02:00:00+00:00,-1,328.99937500000647,win,HALF+TP,2025-04
2025-04-11 07:00:00+00:00,2025-04-11 09:00:00+00:00,-1,-62.694821428570435,loss,SL,2025-04
2025-04-11 12:00:00+00:00,2025-04-23 00:45:00+00:00,-1,192.60892857143403,win,HALF+SL,2025-04
2025-04-23 01:00:00+00:00,2025-04-28 17:30:00+00:00,1,121.11303571429062,win,HALF+SL,2025-04
2025-04-28 20:00:00+00:00,2025-05-01 06:30:00+00:00,-1,-133.59803571428301,loss,SL,2025-04
2025-05-01 08:00:00+00:00,2025-05-02 16:30:00+00:00,1,106.39964285714711,win,HALF+SL,2025-05
2025-05-02 18:00:00+00:00,2025-05-02 21:30:00+00:00,1,119.45812499999136,win,HALF+TP,2025-05
2025-05-02 22:00:00+00:00,2025-05-05 02:45:00+00:00,1,-50.740714285711874,loss,SL,2025-05
2025-05-05 04:00:00+00:00,2025-05-06 10:30:00+00:00,-1,190.93375000000776,win,HALF+TP,2025-05
2025-05-06 14:00:00+00:00,2025-05-07 01:00:00+00:00,-1,33.34339285714236,win,HALF+SL,2025-05
2025-05-07 03:00:00+00:00,2025-05-07 04:30:00+00:00,-1,26.635000000001696,win,HALF+SL,2025-05
2025-05-07 07:00:00+00:00,2025-05-07 07:45:00+00:00,-1,-15.657321428568594,loss,SL,2025-05
2025-05-07 09:00:00+00:00,2025-05-07 11:00:00+00:00,-1,-31.701428571426504,loss,SL,2025-05
2025-05-07 13:00:00+00:00,2025-05-07 17:00:00+00:00,-1,17.650535714290072,win,HALF+SL,2025-05
2025-05-07 20:00:00+00:00,2025-05-07 21:00:00+00:00,1,-39.79464285714016,loss,SL,2025-05
2025-05-08 02:00:00+00:00,2025-05-08 03:45:00+00:00,1,-20.45357142857256,loss,SL,2025-05
2025-05-08 06:00:00+00:00,2025-05-08 09:30:00+00:00,1,93.22937499999853,win,HALF+TP,2025-05
2025-05-08 10:00:00+00:00,2025-05-08 22:15:00+00:00,1,237.98749999999416,win,HALF+TP,2025-05
2025-05-09 00:00:00+00:00,2025-05-09 03:30:00+00:00,1,15.632321428569185,win,HALF+SL,2025-05
2025-05-09 05:00:00+00:00,2025-05-09 05:30:00+00:00,1,17.343928571432343,win,HALF+SL,2025-05
2025-05-09 12:00:00+00:00,2025-05-09 14:00:00+00:00,1,13.930892857140975,win,HALF+SL,2025-05
2025-05-09 16:00:00+00:00,2025-05-09 17:15:00+00:00,1,-41.292857142858,loss,SL,2025-05
2025-05-09 20:00:00+00:00,2025-05-12 10:00:00+00:00,1,191.26562500000261,win,HALF+TP,2025-05
2025-05-12 12:00:00+00:00,2025-05-15 09:45:00+00:00,1,-216.32160714285646,loss,SL,2025-05
2025-05-15 10:00:00+00:00,2025-05-15 15:45:00+00:00,-1,-65.05446428571418,loss,SL,2025-05
2025-05-15 22:00:00+00:00,2025-05-15 23:45:00+00:00,-1,12.293750000000614,win,HALF+SL,2025-05
2025-05-16 01:00:00+00:00,2025-05-16 02:30:00+00:00,-1,15.208928571431102,win,HALF+SL,2025-05
2025-05-16 04:00:00+00:00,2025-05-16 17:30:00+00:00,-1,-78.18428571428058,loss,SL,2025-05
2025-05-16 20:00:00+00:00,2025-05-19 00:00:00+00:00,-1,68.87125000000935,win,HALF+TP,2025-05
2025-05-19 02:00:00+00:00,2025-05-19 17:00:00+00:00,-1,35.10142857143137,win,HALF+SL,2025-05
2025-05-19 22:00:00+00:00,2025-05-20 02:30:00+00:00,-1,16.05750000000228,win,HALF+SL,2025-05
2025-05-20 09:00:00+00:00,2025-05-20 16:00:00+00:00,-1,-51.37017857142894,loss,SL,2025-05
2025-05-20 20:00:00+00:00,2025-05-21 01:00:00+00:00,-1,84.69312500000967,win,HALF+TP,2025-05
2025-05-21 03:00:00+00:00,2025-05-21 04:30:00+00:00,-1,20.553392857146946,win,HALF+SL,2025-05
2025-05-21 13:00:00+00:00,2025-05-21 20:15:00+00:00,-1,89.34249999999508,win,HALF+TP,2025-05
2025-05-21 21:00:00+00:00,2025-05-22 01:00:00+00:00,-1,-33.18374999999776,loss,SL,2025-05
2025-05-22 05:00:00+00:00,2025-05-22 11:45:00+00:00,-1,41.06196428571991,win,HALF+SL,2025-05
2025-05-22 15:00:00+00:00,2025-05-22 16:45:00+00:00,-1,-47.56160714285613,loss,SL,2025-05
2025-05-22 18:00:00+00:00,2025-05-22 19:15:00+00:00,-1,-25.888214285711797,loss,SL,2025-05
2025-05-22 22:00:00+00:00,2025-05-23 05:00:00+00:00,-1,79.12437500000635,win,HALF+TP,2025-05
2025-05-23 08:00:00+00:00,2025-05-27 09:45:00+00:00,-1,71.9573214285731,win,HALF+SL,2025-05
2025-05-27 20:00:00+00:00,2025-05-29 02:30:00+00:00,1,222.923125000014,win,HALF+TP,2025-05
2025-05-29 04:00:00+00:00,2025-05-29 15:15:00+00:00,1,-144.82553571428696,loss,SL,2025-05
2025-05-29 16:00:00+00:00,2025-05-30 17:45:00+00:00,-1,72.90107142857494,win,HALF+SL,2025-05
2025-05-30 23:00:00+00:00,2025-05-30 23:45:00+00:00,-1,-17.60749999999973,loss,SL,2025-05
2025-06-02 02:00:00+00:00,2025-06-02 04:15:00+00:00,-1,66.00749999999778,win,HALF+TP,2025-06
2025-06-02 07:00:00+00:00,2025-06-02 09:30:00+00:00,-1,50.75812500001007,win,HALF+TP,2025-06
2025-06-02 12:00:00+00:00,2025-06-03 17:00:00+00:00,-1,-80.27553571428712,loss,SL,2025-06
2025-06-03 22:00:00+00:00,2025-06-04 00:00:00+00:00,1,10.031964285715844,win,HALF+SL,2025-06
2025-06-04 04:00:00+00:00,2025-06-04 04:30:00+00:00,1,-26.190714285715444,loss,SL,2025-06
2025-06-04 06:00:00+00:00,2025-06-04 09:30:00+00:00,1,28.547142857146923,win,HALF+SL,2025-06
