symbol,entry_time,exit_time,dir,ep,sl,tp,exit_price,result,lot,eff_risk,half_pnl,equity_after,pnl_delta,month
US30,2025-05-15 05:00:00+00:00,2025-05-15 10:46:00+00:00,-1,41872.4,41915.85642857143,41763.75892857143,41763.75892857143,TP,11.479446258858205,0.015,37414.1802290727,5119506.987790448,130949.62391408719,2025-05
EURJPY,2025-05-15 07:00:00+00:00,2025-05-15 10:31:00+00:00,-1,163.398,163.57694642857143,162.95763392857145,163.57694642857143,SL,770603.9120983473,0.02,0.0,6679421.324188164,-138359.18026043382,2025-05
EURGBP,2025-05-15 13:00:00+00:00,2025-05-15 13:57:00+00:00,-1,0.84248,0.8430356785714286,0.8412308035714287,0.84248,BE,912081.6256247915,0.015,29718.96324953921,3991700.1475460585,29171.714274163824,2025-05
AUDUSD,2025-05-16 00:00:00+00:00,2025-05-16 00:04:00+00:00,-1,0.64043,0.6409780357142857,0.6390949107142858,0.6409780357142857,SL,1146539.5850973572,0.02,0.0,4531654.714862568,-94939.61982239597,2025-05
AUDUSD,2025-05-16 02:00:00+00:00,2025-05-16 12:33:00+00:00,1,0.6408299999999999,0.6392981071428572,0.6446247321428569,0.6408299999999999,BE,397019.1632167309,0.02,45316.547148625694,4576733.050513264,45078.33565069549,2025-05
US30,2025-05-16 06:00:00+00:00,2025-05-16 11:37:00+00:00,1,42294.3,42238.950892857145,42432.67276785715,42432.67276785715,TP,12.764288330868652,0.02,52986.89718206856,5484143.850685523,185454.1324786665,2025-05
EURJPY,2025-05-16 13:00:00+00:00,2025-05-18 21:06:00+00:00,-1,162.934,163.14993214285715,162.40116964285716,162.40116964285716,TP,624442.987854178,0.02,66794.21324188165,6912201.961754177,232780.63756601233,2025-05
EURGBP,2025-05-18 23:00:00+00:00,2025-05-19 01:01:00+00:00,-1,0.8412799999999999,0.8420101071428572,0.839594732142857,0.8412799999999999,BE,692622.6837419582,0.015,30158.869716071713,4050925.9249153887,29743.29610582674,2025-05
EURGBP,2025-05-19 02:00:00+00:00,2025-05-19 06:32:00+00:00,-1,0.84058,0.8415346071428571,0.8383334821428574,0.8415346071428571,SL,518610.9204076019,0.015,0.0,3924350.1862504776,-62733.01842727093,2025-05
AUDUSD,2025-05-19 07:00:00+00:00,2025-05-19 11:19:00+00:00,1,0.6411899999999999,0.63964175,0.6450256249999999,0.6450256249999999,TP,401806.12858281186,0.02,46355.87079693717,4797290.189209413,161703.10951569583,2025-05
AUDUSD,2025-05-19 12:00:00+00:00,2025-05-19 12:59:00+00:00,1,0.64491,0.6439580714285715,0.6472548214285713,0.6439580714285715,SL,679073.4576874916,0.02,0.0,4699918.331164086,-97371.85804532655,2025-05
US30,2025-05-19 13:00:00+00:00,2025-05-19 16:40:00+00:00,1,42289.4,42217.235714285714,42469.81071428572,42469.81071428572,TP,10.63731521694828,0.02,57572.56909115911,5958760.894552577,201503.98543666676,2025-05
EURJPY,2025-05-19 13:00:00+00:00,2025-05-19 19:31:00+00:00,-1,163.248,163.42397499999998,162.81506250000004,162.81506250000004,TP,794620.1421761512,0.02,69122.01961754177,7152857.638188087,240655.67643391062,2025-05
AUDUSD,2025-05-19 20:00:00+00:00,2025-05-20 00:56:00+00:00,1,0.6456999999999999,0.6446352142857144,0.6483269642857141,0.6446352142857144,SL,605924.1050315974,0.02,0.0,4696260.220354916,-97140.45410985872,2025-05
AUDUSD,2025-05-20 01:00:00+00:00,2025-05-20 05:41:00+00:00,-1,0.6446700000000001,0.6457623571428571,0.6419741071428573,0.6419741071428573,TP,578522.5639364864,0.02,46962.602203549155,4859848.322606025,163588.10225110967,2025-05
US30,2025-05-20 03:00:00+00:00,2025-05-20 04:33:00+00:00,1,42846.0,42754.01267857143,43075.968303571426,42754.01267857143,SL,8.637075634645646,0.02,0.0,5839585.67147928,-119175.22307329718,2025-05
EURGBP,2025-05-20 06:00:00+00:00,2025-05-20 08:15:00+00:00,1,0.84145,0.8410111071428572,0.842407232142857,0.84145,BE,1157281.4569324302,0.015,29132.97473769352,3912835.2375560044,28438.60586353438,2025-05
AUDUSD,2025-05-20 09:00:00+00:00,2025-05-20 12:44:00+00:00,-1,0.64185,0.6428011785714286,0.6395070535714285,0.6395070535714285,TP,688476.9755901927,0.02,48598.483226060256,5029013.569980191,169165.2473741658,2025-05
EURGBP,2025-05-20 17:00:00+00:00,2025-05-21 02:13:00+00:00,1,0.8418800000000001,0.841246,0.843325,0.843325,TP,788213.6129312842,0.015,29562.545866051147,4042678.0206742072,101005.23853405472,2025-05
US30,2025-05-21 08:00:00+00:00,2025-05-21 11:36:00+00:00,-1,42549.3,42599.34428571429,42424.189285714296,42424.189285714296,TP,15.558448117517278,0.02,58395.856714792804,6043971.160645982,204385.48916670214,2025-05
EURJPY,2025-05-21 11:00:00+00:00,2025-05-21 22:16:00+00:00,-1,162.898,163.34482857142856,161.7879285714286,163.34482857142856,SL,337150.91429240734,0.02,0.0,7347867.026088513,-150850.95193768851,2025-05
US30,2025-05-21 20:00:00+00:00,2025-05-21 20:18:00+00:00,-1,42335.35,42430.77375,42096.790624999994,42096.790624999994,TP,8.740675348795932,0.02,62555.10144860108,6474452.994685807,218942.84982569888,2025-05
AUDUSD,2025-05-22 00:00:00+00:00,2025-05-22 00:22:00+00:00,1,0.64327,0.6428171428571429,0.644367142857143,0.644367142857143,TP,1636051.5345657112,0.02,54340.28311236681,5622010.632558308,187982.3213216262,2025-05
