datetime,open,high,low,close,volume
2024-11-14 04:00:00,155.947,156.135,155.7,155.835,23342
2024-11-14 08:00:00,155.837,156.241,155.736,155.917,27395
2024-11-14 12:00:00,155.921,156.191,155.518,155.95,38457
2024-11-14 16:00:00,155.952,156.042,155.67,155.92,25040
2024-11-14 20:00:00,155.918,156.53,155.867,156.475,21789
2024-11-15 00:00:00,156.468,156.747,156.271,156.499,27087
2024-11-15 04:00:00,156.503,156.546,155.755,155.776,25320
2024-11-15 08:00:00,155.778,155.785,155.213,155.491,30904
2024-11-15 12:00:00,155.493,155.778,154.83,154.948,44276
2024-11-15 16:00:00,154.947,155.014,153.855,154.211,38279
2024-11-15 20:00:00,154.214,154.477,154.169,154.28,11408
2024-11-17 20:00:00,154.28,154.743,154.271,154.641,3242
2024-11-18 00:00:00,154.637,155.14,153.838,154.654,27539
2024-11-18 04:00:00,154.649,154.765,154.297,154.564,30072
2024-11-18 08:00:00,154.568,155.122,154.501,155.056,33278
2024-11-18 12:00:00,155.054,155.36,154.583,154.992,35768
2024-11-18 16:00:00,154.993,155.064,154.566,154.742,27920
2024-11-18 20:00:00,154.737,154.739,154.416,154.615,12752
2024-11-19 00:00:00,154.617,154.617,153.95,154.176,29820
2024-11-19 04:00:00,154.174,154.653,154.108,154.525,25415
2024-11-19 08:00:00,154.526,154.575,153.272,154.083,46299
2024-11-19 12:00:00,154.091,154.232,153.405,153.957,46317
2024-11-19 16:00:00,153.958,154.795,153.911,154.692,27510
2024-11-19 20:00:00,154.693,154.756,154.509,154.716,12276
2024-11-20 00:00:00,154.718,154.989,154.58,154.953,26764
2024-11-20 04:00:00,154.953,155.678,154.938,155.654,24799
2024-11-20 08:00:00,155.664,155.87,155.578,155.83,26073
2024-11-20 12:00:00,155.832,155.882,155.045,155.529,32733
2024-11-20 16:00:00,155.522,155.61,155.18,155.365,25353
2024-11-20 20:00:00,155.368,155.536,155.229,155.275,13245
2024-11-21 00:00:00,155.274,155.3,154.87,154.92,24767
2024-11-21 04:00:00,154.924,155.265,154.553,154.904,29398
2024-11-21 08:00:00,154.903,155.035,154.08,154.532,38361
2024-11-21 12:00:00,154.528,154.713,153.9,154.318,42737
2024-11-21 16:00:00,154.316,154.698,154.304,154.504,35557
2024-11-21 20:00:00,154.503,154.59,154.1,154.153,16292
2024-11-22 00:00:00,154.154,154.493,153.963,154.261,26940
2024-11-22 04:00:00,154.263,154.953,154.259,154.725,25873
2024-11-22 08:00:00,154.724,154.866,154.242,154.311,40785
2024-11-22 12:00:00,154.306,155.023,154.186,154.897,44165
2024-11-22 16:00:00,154.897,154.919,154.65,154.801,28810
2024-11-22 20:00:00,154.801,154.885,154.667,154.758,9009
2024-11-25 12:00:00,153.951,154.39,153.62,154.373,23383
2024-11-25 16:00:00,154.368,154.515,153.99,154.134,32918
2024-11-25 20:00:00,154.137,154.49,153.859,154.378,17369
2024-11-26 00:00:00,154.37,154.414,153.72,153.74,32230
2024-11-26 04:00:00,153.744,154.217,153.54,154.035,26810
2024-11-26 08:00:00,154.034,154.119,153.707,153.777,34328
2024-11-26 12:00:00,153.775,153.805,152.985,153.464,45101
2024-11-26 16:00:00,153.459,153.681,153.074,153.1,34528
2024-11-26 20:00:00,153.109,153.232,152.913,152.929,16983
2024-11-27 00:00:00,152.933,153.029,152.37,152.446,29728
2024-11-27 04:00:00,152.447,152.476,151.836,151.95,28855
2024-11-27 08:00:00,151.949,151.954,151.215,151.485,39146
2024-11-27 12:00:00,151.486,151.802,150.92,151.1,43510
2024-11-27 16:00:00,151.101,151.372,150.45,151.022,34774
2024-11-27 20:00:00,151.023,151.379,150.895,151.332,15502
2024-11-28 00:00:00,151.336,151.75,151.278,151.62,26576
2024-11-28 04:00:00,151.624,151.775,151.35,151.749,22684
2024-11-28 08:00:00,151.733,151.95,151.69,151.833,26917
2024-11-28 12:00:00,151.83,151.844,151.396,151.515,21408
2024-11-28 16:00:00,151.516,151.572,151.442,151.489,9596
2024-11-28 20:00:00,151.489,151.705,150.976,151.179,8340
2024-11-29 00:00:00,151.176,151.199,149.846,150.097,35374
2024-11-29 04:00:00,150.096,150.272,149.527,149.987,28859
2024-11-29 08:00:00,149.989,150.363,149.827,150.032,31113
2024-11-29 12:00:00,150.038,150.347,149.87,150.175,32749
2024-11-29 16:00:00,150.18,150.528,149.459,149.597,30534
2024-11-29 20:00:00,149.607,149.76,149.516,149.724,12102
2024-12-01 20:00:00,149.594,150.065,149.486,149.852,3290
2024-12-02 00:00:00,149.86,150.742,149.801,150.527,25815
2024-12-02 04:00:00,150.524,150.745,149.989,150.248,29998
2024-12-02 08:00:00,150.248,150.442,150.04,150.144,30764
2024-12-02 12:00:00,150.146,150.352,149.717,149.869,37866
2024-12-02 16:00:00,149.872,149.946,149.073,149.52,31350
2024-12-02 20:00:00,149.519,149.822,149.22,149.516,17778
2024-12-03 00:00:00,149.518,150.137,149.49,150.093,29785
2024-12-03 04:00:00,150.094,150.234,149.872,150.009,23511
2024-12-03 08:00:00,150.007,150.182,149.68,149.726,29801
2024-12-03 12:00:00,149.724,149.872,148.64,149.148,42017
2024-12-03 16:00:00,149.151,149.535,148.961,149.502,32116
2024-12-03 20:00:00,149.502,149.696,149.398,149.612,13394
2024-12-04 00:00:00,149.614,150.076,149.519,149.935,31316
2024-12-04 04:00:00,149.926,150.435,149.855,150.38,29831
2024-12-04 08:00:00,150.38,151.048,150.29,150.885,33626
2024-12-04 12:00:00,150.89,151.23,150.28,150.402,39323
2024-12-04 16:00:00,150.392,150.593,149.991,150.437,31024
2024-12-04 20:00:00,150.439,150.773,150.427,150.546,16405
2024-12-05 00:00:00,150.542,150.681,150.177,150.287,28838
2024-12-05 04:00:00,150.284,150.422,149.655,149.787,27557
2024-12-05 08:00:00,149.78,150.346,149.652,150.159,28855
2024-12-05 12:00:00,150.153,150.693,150.14,150.251,40014
2024-12-05 16:00:00,150.25,150.351,149.91,150.017,26680
2024-12-05 20:00:00,150.017,150.235,149.947,150.12,13697
2024-12-06 00:00:00,150.116,150.274,149.765,149.879,26789
2024-12-06 04:00:00,149.88,150.168,149.765,150.089,21861
2024-12-06 08:00:00,150.092,150.699,150.087,150.507,26132
2024-12-06 12:00:00,150.51,150.657,149.35,149.863,46236
2024-12-06 16:00:00,149.863,150.131,149.67,149.972,27856
2024-12-06 20:00:00,149.971,150.062,149.888,150.002,8617
2024-12-08 20:00:00,149.741,150.039,149.741,149.887,2347
2024-12-09 00:00:00,149.886,150.05,149.688,149.974,21059
2024-12-09 04:00:00,149.968,150.349,149.834,150.341,22447
2024-12-09 08:00:00,150.34,150.522,150.31,150.488,25864
2024-12-09 12:00:00,150.491,151.242,150.436,151.02,30507
2024-12-09 16:00:00,151.025,151.343,150.967,151.239,20538
2024-12-09 20:00:00,151.237,151.428,151.1,151.393,13002
2024-12-10 00:00:00,151.391,151.55,151.03,151.071,27664
2024-12-10 04:00:00,151.072,151.585,150.89,151.556,24886
2024-12-10 08:00:00,151.555,151.79,151.411,151.701,28113
2024-12-10 12:00:00,151.703,152.171,151.52,152.125,31716
2024-12-10 16:00:00,152.125,152.18,151.84,151.929,23505
2024-12-10 20:00:00,151.928,151.984,151.774,151.833,12577
2024-12-11 00:00:00,151.842,151.872,151.4,151.543,22509
2024-12-11 04:00:00,151.544,151.79,151.417,151.652,22859
2024-12-11 08:00:00,151.655,152.8,151.0,152.552,36160
2024-12-11 12:00:00,152.544,152.858,151.915,152.457,42087
2024-12-11 16:00:00,152.453,152.717,152.238,152.639,28497
2024-12-11 20:00:00,152.644,152.646,152.232,152.255,11843
2024-12-12 00:00:00,152.26,152.412,151.949,152.348,24141
2024-12-12 04:00:00,152.351,152.77,152.17,152.568,25155
2024-12-12 08:00:00,152.564,152.658,152.15,152.185,29278
2024-12-12 12:00:00,152.186,152.397,151.794,152.285,43289
2024-12-12 16:00:00,152.284,152.546,152.037,152.536,27950
2024-12-12 20:00:00,152.537,152.69,152.444,152.588,11091
2024-12-13 00:00:00,152.587,153.043,152.55,152.899,23719
2024-12-13 04:00:00,152.898,153.087,152.671,152.796,21243
2024-12-13 08:00:00,152.789,153.623,152.789,153.623,26117
2024-12-13 12:00:00,153.624,153.685,153.257,153.66,29877
2024-12-13 16:00:00,153.66,153.762,153.552,153.685,12151
2024-12-13 20:00:00,153.684,153.729,153.562,153.696,6375
2024-12-15 20:00:00,153.619,153.673,153.427,153.451,2394
2024-12-16 00:00:00,153.448,153.971,153.318,153.817,18861
2024-12-16 04:00:00,153.812,153.892,153.476,153.525,17522
2024-12-16 08:00:00,153.516,153.861,153.426,153.801,24612
2024-12-16 12:00:00,153.799,154.476,153.775,154.229,28577
2024-12-16 16:00:00,154.234,154.31,154.002,154.124,21693
2024-12-16 20:00:00,154.123,154.261,154.052,154.093,9493
2024-12-17 00:00:00,154.095,154.342,153.795,154.041,23149
